Valid,Modified,Unmodified,District,Saeima,Party
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,20
N/A,N/A,N/A,"",8,20
N/A,N/A,N/A,"",8,20
N/A,N/A,N/A,"",8,20
N/A,N/A,N/A,"",8,20
