Valid,Modified,Unmodified,District,Saeima,Party
N/A,N/A,N/A,Rīga,7,4
N/A,N/A,N/A,Vidzeme,7,4
N/A,N/A,N/A,Latgale,7,4
N/A,N/A,N/A,Kurzeme,7,4
N/A,N/A,N/A,Zemgale,7,4
N/A,N/A,N/A,Rīga,7,6
N/A,N/A,N/A,Vidzeme,7,6
N/A,N/A,N/A,Latgale,7,6
N/A,N/A,N/A,Kurzeme,7,6
N/A,N/A,N/A,Zemgale,7,6
N/A,N/A,N/A,Rīga,7,7
N/A,N/A,N/A,Vidzeme,7,7
N/A,N/A,N/A,Latgale,7,7
N/A,N/A,N/A,Kurzeme,7,7
N/A,N/A,N/A,Zemgale,7,7
N/A,N/A,N/A,Rīga,7,8
N/A,N/A,N/A,Vidzeme,7,8
N/A,N/A,N/A,Latgale,7,8
N/A,N/A,N/A,Kurzeme,7,8
N/A,N/A,N/A,Zemgale,7,8
N/A,N/A,N/A,Rīga,7,9
N/A,N/A,N/A,Vidzeme,7,9
N/A,N/A,N/A,Latgale,7,9
N/A,N/A,N/A,Kurzeme,7,9
N/A,N/A,N/A,Zemgale,7,9
N/A,N/A,N/A,Rīga,7,14
N/A,N/A,N/A,Vidzeme,7,14
N/A,N/A,N/A,Latgale,7,14
N/A,N/A,N/A,Kurzeme,7,14
N/A,N/A,N/A,Zemgale,7,14
N/A,N/A,N/A,Rīga,7,15
N/A,N/A,N/A,Vidzeme,7,15
N/A,N/A,N/A,Latgale,7,15
N/A,N/A,N/A,Kurzeme,7,15
N/A,N/A,N/A,Zemgale,7,15
N/A,N/A,N/A,Rīga,7,17
N/A,N/A,N/A,Vidzeme,7,17
N/A,N/A,N/A,Latgale,7,17
N/A,N/A,N/A,Kurzeme,7,17
N/A,N/A,N/A,Zemgale,7,17
