PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Nils Ušakovs",1,25165,728,89408,ievēlēts,9,2,1,64971
2,"Sergejs Dolgopolovs",2,15899,1213,79657,ievēlēts,9,2,1,64971
3,"Aleksandrs Mirskis",16,12866,1328,76509,ievēlēts,9,2,1,64971
4,"Artūrs Rubiks",3,11218,1556,74633,ievēlēts,9,2,1,64971
5,"Jānis Urbanovičs",4,10108,783,74296,ievēlēts,9,2,1,64971
6,"Andrejs Klementjevs",5,8921,696,73196,ievēlēts,9,2,1,64971
7,"Boriss Cilevičs",8,8701,835,72837,ievēlēts,9,2,1,64971
8,"Sergejs Mirskis",30,5740,1000,69711,ievēlēts,9,2,1,64971
9,"Ivans Klementjevs",24,4827,675,69123,"ievēlēts Vidzemes apgabalā",9,2,1,64971
10,"Igors Pimenovs",17,4667,797,68841,"",9,2,1,64971
11,"Mihails Zemļinskis",13,4451,795,68627,"",9,2,1,64971
12,"Aleksejs Vidavskis",10,4239,818,68392,"ievēlēts Latgales apgabalā",9,2,1,64971
13,"Aleksejs Holostovs",29,3959,867,68063,"",9,2,1,64971
14,"Igors Zujevs",31,3706,744,67933,"",9,2,1,64971
15,"Leonids Fedosejevs",14,3616,713,67874,"",9,2,1,64971
16,"Vitālijs Orlovs",23,3602,716,67857,"ievēlēts Zemgales apgabalā",9,2,1,64971
17,"Leonīds Kurdjumovs",32,3746,892,67825,"",9,2,1,64971
18,"Viktors Gluhovs",12,3452,687,67736,"",9,2,1,64971
19,"Igors Solovjovs",11,3453,746,67678,"",9,2,1,64971
20,"Valērijs Agešins",20,2980,710,67241,"ievēlēts Kurzemes apgabalā",9,2,1,64971
21,"Nikolajs Zaharovs",15,2998,789,67180,"",9,2,1,64971
22,"Vladimirs Frolovs",28,2870,704,67137,"",9,2,1,64971
23,"Sergejs Hristoļubovs",19,2953,792,67132,"",9,2,1,64971
24,"Anita Jākobsone",6,3030,895,67106,"",9,2,1,64971
25,"Anatolijs Pešehonovs",7,2945,814,67102,"",9,2,1,64971
26,"Aivars Bergers",9,2991,872,67090,"",9,2,1,64971
27,"Viktors Fedotovs",18,2681,717,66935,"",9,2,1,64971
28,"Oļegs Ščipcovs",26,2690,761,66900,"",9,2,1,64971
29,"Vera Pondina",22,2636,772,66835,"",9,2,1,64971
30,"Anatolijs Zolotovskovs",25,2487,715,66743,"",9,2,1,64971
31,"Oļegs Mihaļevičs",27,2437,717,66691,"",9,2,1,64971
