PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Anatolijs Gorbunovs",1,11737,909,44205,"ievēlēts Vidzemes apgabalā",7,4,1,33377
2,"Vilis Krištopans",3,10957,1209,43125,"ievēlēts Vidzemes apgabalā",7,4,1,33377
3,"Andrejs Panteļējevs",2,7251,1371,39257,"ievēlēts Vidzemes apgabalā",7,4,1,33377
4,"Ivars Godmanis",5,6551,1889,38039,"ievēlēts Vidzemes apgabalā",7,4,1,33377
5,"Kristiāna Lībane",4,5535,1296,37616,"ievēlēta Vidzemes apgabalā",7,4,1,33377
6,"Indulis Bērziņš",15,4172,1016,36533,ievēlēts,7,4,1,33377
7,"Valdis Birkavs",14,4858,2026,36209,"ievēlēts Vidzemes apgabalā",7,4,1,33377
8,"Aija Poča",28,3737,946,36168,"ievēlēta Latgales apgabalā",7,4,1,33377
9,"Karina Pētersone",6,2808,895,35290,ievēlēta,7,4,1,33377
10,"Jānis Gaigals",9,2717,946,35148,ievēlēts,7,4,1,33377
11,"Romualds Ražuks",7,2216,1419,34174,ievēlēts,7,4,1,33377
12,"Kārlis Leiškalns",16,2769,2292,33854,"ievēlēts Zemgales apgabalā",7,4,1,33377
13,"Inese Birzniece",10,1278,1015,33640,"",7,4,1,33377
14,"Rolands Repša",26,1200,953,33624,"",7,4,1,33377
15,"Antons Seiksts",20,1263,1042,33598,"ievēlēts Latgales apgabalā",7,4,1,33377
16,"Normunds Rudevičs",18,1088,986,33479,"",7,4,1,33377
17,"Jānis Vētra",12,1185,1120,33442,"",7,4,1,33377
18,"Indra Omula Sāmīte",11,1157,1141,33393,"",7,4,1,33377
19,"Andrejs Siliņš",25,747,942,33182,"",7,4,1,33377
20,"Juris Kanels",13,757,982,33152,"",7,4,1,33377
21,"Rauls Renemanis",23,890,1148,33119,"",7,4,1,33377
22,"Aija Matule",22,699,996,33080,"",7,4,1,33377
23,"Pēteris Strubergs",19,638,950,33065,"",7,4,1,33377
24,"Jolanta Zālīte",24,647,977,33047,"",7,4,1,33377
25,"Kārlis Poļakovs",27,665,1055,32987,"",7,4,1,33377
26,"Jana Savdona",21,610,1067,32920,"",7,4,1,33377
27,"Laimdota Rone",17,1358,1983,32752,"",7,4,1,33377
28,"Edvīns Inkēns",8,2334,3152,32559,"ievēlēts Zemgales apgabalā",7,4,1,33377
1,"Anatolijs Gorbunovs",1,21386,710,73964,ievēlēts,7,4,2,53288
2,"Vilis Krištopans",3,18838,1083,71043,ievēlēts,7,4,2,53288
3,"Andrejs Panteļējevs",4,10073,1770,61591,ievēlēts,7,4,2,53288
4,"Ivars Godmanis",6,9336,2944,59680,ievēlēts,7,4,2,53288
5,"Kristiāna Lībane",2,7847,1509,59626,ievēlēta,7,4,2,53288
6,"Valdis Birkavs",5,7849,2659,58478,ievēlēts,7,4,2,53288
7,"Indulis Bērziņš",15,5389,1175,57502,"ievēlēts Rīgas apgabalā",7,4,2,53288
