PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Leopolds Ozoliņš",1,210,33,960,"",7,1,1,783
2,"Gundars Valdmanis",28,204,35,952,"",7,1,1,783
3,"Edgars Račevskis",2,103,32,854,"",7,1,1,783
4,"Romāns Pussars",3,88,37,834,"",7,1,1,783
5,"Ivars Vīks",15,68,26,825,"",7,1,1,783
6,"Modris Slava",6,57,36,804,"",7,1,1,783
7,"Jānis Derums",5,45,34,794,"",7,1,1,783
8,"Reinholds Arnolds Skride",8,39,36,786,"",7,1,1,783
9,"Anna Marija Circene",7,44,42,785,"",7,1,1,783
10,"Ilmārs Ančāns",4,42,47,778,"",7,1,1,783
11,"Jānis Ēriks Docītis",10,23,28,778,"",7,1,1,783
12,"Jānis Rozenbergs",12,22,29,776,"",7,1,1,783
13,"Maruta Solvita Naudiņa",20,27,34,776,"",7,1,1,783
14,"Valdis Dekovics",25,24,31,776,"",7,1,1,783
15,"Andris Rukmanis",14,23,32,774,"",7,1,1,783
16,"Harijs Klēbers",17,21,30,774,"",7,1,1,783
17,"Kristīne Neimane",21,23,33,773,"",7,1,1,783
18,"Ilze Krastiņa",9,24,35,772,"",7,1,1,783
19,"Ralfs Sviriņš",27,27,38,772,"",7,1,1,783
20,"Maruta Dambekalne",13,23,36,770,"",7,1,1,783
21,"Augusts Ruplis",16,18,31,770,"",7,1,1,783
22,"Miervaldis Ceimurs",22,20,35,768,"",7,1,1,783
23,"Pāvils Grēniņš",19,14,30,767,"",7,1,1,783
24,"Antons Dundurs",26,18,35,766,"",7,1,1,783
25,"Dace Balode",18,17,35,765,"",7,1,1,783
26,"Ju-liņ Čžou",11,38,59,762,"",7,1,1,783
27,"Imants Ramza",23,10,31,762,"",7,1,1,783
28,"Sergejs Jašniks",24,11,39,755,"",7,1,1,783
1,"Gundars Valdmanis",3,228,35,1110,"",7,1,2,917
2,"Leopolds Ozoliņš",1,205,15,1107,"",7,1,2,917
3,"Edgars Račevskis",4,88,17,988,"",7,1,2,917
4,"Ilmārs Ančāns",2,74,27,964,"",7,1,2,917
5,"Romāns Pussars",13,66,21,962,"",7,1,2,917
6,"Modris Slava",6,58,24,951,"",7,1,2,917
7,"Juris Krūmiņš",16,46,20,943,"",7,1,2,917
8,"Jānis Rozenbergs",12,34,16,935,"",7,1,2,917
9,"Jānis Derums",5,41,25,933,"",7,1,2,917
10,"Reinholds Arnolds Skride",11,33,18,932,"",7,1,2,917
11,"Dāvis Kampe",18,35,21,931,"",7,1,2,917
12,"Ilze Krastiņa",7,35,22,930,"",7,1,2,917
13,"Anna Marija Circene",10,32,22,927,"",7,1,2,917
14,"Gunārs Preinbergs",14,24,16,925,"",7,1,2,917
15,"Ralfs Sviriņš",15,31,23,925,"",7,1,2,917
16,"Vilhelms Klincāns",20,27,20,924,"",7,1,2,917
17,"Maruta Solvita Naudiņa",22,26,22,921,"",7,1,2,917
18,"Pāvils Grēniņš",24,27,23,921,"",7,1,2,917
19,"Jānis Bondars",25,25,21,921,"",7,1,2,917
20,"Andris Rukmanis",21,27,24,920,"",7,1,2,917
21,"Miervaldis Ceimurs",17,23,21,919,"",7,1,2,917
22,"Dace Balode",8,22,22,917,"",7,1,2,917
23,"Jānis Ēriks Docītis",9,17,19,915,"",7,1,2,917
24,"Maruta Dambekalne",19,23,25,915,"",7,1,2,917
25,"Imants Ramza",23,19,21,915,"",7,1,2,917
1,"Gundars Valdmanis",2,97,18,660,"",7,1,3,581
2,"Vaira Mickeviča",6,65,24,622,"",7,1,3,581
3,"Edgars Račevskis",1,55,21,615,"",7,1,3,581
4,"Jānis Bondars",4,55,24,612,"",7,1,3,581
5,"Leopolds Ozoliņš",3,45,23,603,"",7,1,3,581
6,"Valentīns Augustāns",5,41,23,599,"",7,1,3,581
7,"Zaiga Graudiņa",7,37,23,595,"",7,1,3,581
8,"Vladimirs Romanovs",8,34,23,592,"",7,1,3,581
9,"Jānis Rozenbergs",9,26,21,586,"",7,1,3,581
10,"Ivars Vīks",13,25,20,586,"",7,1,3,581
11,"Anna Marija Circene",18,25,20,586,"",7,1,3,581
12,"Ausma Žabo",11,26,22,585,"",7,1,3,581
13,"Ju-liņ Čžou",15,29,25,585,"",7,1,3,581
14,"Reinholds Arnolds Skride",10,25,23,583,"",7,1,3,581
15,"Aldis Purviņš",17,23,22,582,"",7,1,3,581
16,"Andris Rukmanis",14,22,22,581,"",7,1,3,581
17,"Vilhelms Klincāns",12,20,21,580,"",7,1,3,581
18,"Sergejs Jašniks",16,23,25,579,"",7,1,3,581
1,"Leopolds Ozoliņš",3,89,20,458,"",7,1,4,389
2,"Gundars Valdmanis",2,98,33,454,"",7,1,4,389
3,"Edgars Račevskis",1,70,18,441,"",7,1,4,389
4,"Modris Kristovskis",4,50,17,422,"",7,1,4,389
5,"Laima Ķēniņa",5,34,12,411,"",7,1,4,389
6,"Ainis Mielavs",8,35,15,409,"",7,1,4,389
7,"Miervaldis Ceimurs",14,36,20,405,"",7,1,4,389
8,"Ivars Vīks",12,34,19,404,"",7,1,4,389
9,"Indra Pāvila",7,29,19,399,"",7,1,4,389
10,"Daina Garoza",9,31,21,399,"",7,1,4,389
11,"Inta Tuza",6,25,17,397,"",7,1,4,389
12,"Reinholds Arnolds Skride",11,28,20,397,"",7,1,4,389
13,"Osvalds Rukmanis",10,27,22,394,"",7,1,4,389
14,"Valdis Dekovics",13,26,24,391,"",7,1,4,389
1,"Gundars Valdmanis",3,111,12,528,"",7,1,5,429
2,"Leopolds Ozoliņš",2,80,11,498,"",7,1,5,429
3,"Edgars Račevskis",1,54,12,471,"",7,1,5,429
4,"Ivars Vīks",14,46,9,466,"",7,1,5,429
5,"Juris Sladzis",4,38,12,455,"",7,1,5,429
6,"Reinholds Arnolds Skride",11,24,11,442,"",7,1,5,429
7,"Gunārs Preinbergs",10,26,14,441,"",7,1,5,429
8,"Modris Kristovskis",5,27,18,438,"",7,1,5,429
9,"Valda Popoviča",6,26,17,438,"",7,1,5,429
10,"Inga Helviga",12,21,13,437,"",7,1,5,429
11,"Jānis Bondars",15,19,12,436,"",7,1,5,429
12,"Lauma Segliņa",9,25,19,435,"",7,1,5,429
13,"Augusts Ruplis",13,17,11,435,"",7,1,5,429
14,"Ralfs Sviriņš",7,20,15,434,"",7,1,5,429
15,"Aldis Purviņš",8,24,21,432,"",7,1,5,429
1,"Aleksandrs Lielmežs",1,56,3,352,"",7,2,1,299
2,"Juris Putniņš",12,22,6,315,"",7,2,1,299
3,"Māris Bumbieris",2,23,8,314,"",7,2,1,299
4,"Laimonis Pučka",26,19,5,313,"",7,2,1,299
5,"Jevgenija Kurpniece",14,19,6,312,"",7,2,1,299
6,"Andris Sproģis",4,18,6,311,"",7,2,1,299
7,"Sniedze Sproģe",13,16,4,311,"",7,2,1,299
8,"Jānis Pelsis",11,17,7,309,"",7,2,1,299
9,"Alvis Andris Dauksts",19,16,7,308,"",7,2,1,299
10,"Ārijs Dobums",20,14,5,308,"",7,2,1,299
11,"Zigrīda Ilona Finka",24,15,6,308,"",7,2,1,299
12,"Zigmunds Pīmanis",3,17,9,307,"",7,2,1,299
13,"Valdis Cerus",6,15,7,307,"",7,2,1,299
14,"Regīna Livke",9,13,5,307,"",7,2,1,299
15,"Imants Juris Amanis",15,14,6,307,"",7,2,1,299
16,"Anita Bajāre",16,13,5,307,"",7,2,1,299
17,"Ada Brodele",18,14,6,307,"",7,2,1,299
18,"Dzintra Upmace",27,12,4,307,"",7,2,1,299
19,"Sarma Upesleja",28,13,5,307,"",7,2,1,299
20,"Ziedīte Krone",8,13,6,306,"",7,2,1,299
21,"Aivars Okmanis",10,12,5,306,"",7,2,1,299
22,"Biruta Bogusēviča",17,15,8,306,"",7,2,1,299
23,"Elga Drulle",21,14,7,306,"",7,2,1,299
24,"Edgars Dubiņš",22,13,6,306,"",7,2,1,299
25,"Jānis Griezītis",25,11,4,306,"",7,2,1,299
26,"Vilnis Bēvalds",5,13,7,305,"",7,2,1,299
27,"Valda Iļjanova",7,14,9,304,"",7,2,1,299
28,"Ņina Dūce",23,9,5,303,"",7,2,1,299
1,"Aleksandrs Lielmežs",1,207,12,1161,"",7,2,2,966
2,"Kārlis Bērziņš",6,79,13,1032,"",7,2,2,966
3,"Juris Putniņš",10,70,11,1025,"",7,2,2,966
4,"Māris Čanders",7,56,7,1015,"",7,2,2,966
5,"Māris Bumbieris",2,56,24,998,"",7,2,2,966
6,"Imants Balodis",5,49,17,998,"",7,2,2,966
7,"Valdis Cerus",8,47,15,998,"",7,2,2,966
8,"Sniedze Sproģe",15,45,15,996,"",7,2,2,966
