Valid,Modified,Unmodified,District,Saeima,Party
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,1
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,2
N/A,N/A,N/A,"",8,3
N/A,N/A,N/A,"",8,3
N/A,N/A,N/A,"",8,3
N/A,N/A,N/A,"",8,3
N/A,N/A,N/A,"",8,3
N/A,N/A,N/A,"",8,4
N/A,N/A,N/A,"",8,4
N/A,N/A,N/A,"",8,4
N/A,N/A,N/A,"",8,4
N/A,N/A,N/A,"",8,4
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,5
N/A,N/A,N/A,"",8,6
N/A,N/A,N/A,"",8,6
N/A,N/A,N/A,"",8,6
N/A,N/A,N/A,"",8,6
N/A,N/A,N/A,"",8,6
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,7
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,8
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,9
N/A,N/A,N/A,"",8,10
N/A,N/A,N/A,"",8,10
N/A,N/A,N/A,"",8,10
N/A,N/A,N/A,"",8,10
N/A,N/A,N/A,"",8,10
N/A,N/A,N/A,"",8,11
N/A,N/A,N/A,"",8,11
N/A,N/A,N/A,"",8,11
N/A,N/A,N/A,"",8,11
N/A,N/A,N/A,"",8,11
N/A,N/A,N/A,"",8,12
N/A,N/A,N/A,"",8,12
N/A,N/A,N/A,"",8,12
N/A,N/A,N/A,"",8,12
N/A,N/A,N/A,"",8,12
N/A,N/A,N/A,"",8,13
N/A,N/A,N/A,"",8,13
N/A,N/A,N/A,"",8,13
N/A,N/A,N/A,"",8,13
N/A,N/A,N/A,"",8,13
N/A,N/A,N/A,"",8,14
N/A,N/A,N/A,"",8,14
N/A,N/A,N/A,"",8,14
N/A,N/A,N/A,"",8,14
N/A,N/A,N/A,"",8,14
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,15
N/A,N/A,N/A,"",8,16
N/A,N/A,N/A,"",8,16
N/A,N/A,N/A,"",8,16
N/A,N/A,N/A,"",8,16
N/A,N/A,N/A,"",8,16
N/A,N/A,N/A,"",8,17
N/A,N/A,N/A,"",8,17
N/A,N/A,N/A,"",8,17
N/A,N/A,N/A,"",8,17
N/A,N/A,N/A,"",8,17
N/A,N/A,N/A,"",8,18
N/A,N/A,N/A,"",8,18
N/A,N/A,N/A,"",8,18
N/A,N/A,N/A,"",8,18
N/A,N/A,N/A,"",8,18
N/A,N/A,N/A,"",8,19
N/A,N/A,N/A,"",8,19
N/A,N/A,N/A,"",8,19
N/A,N/A,N/A,"",8,19
N/A,N/A,N/A,"",8,19
