PostNum,Candidate,PreNum,Pluses,Minuses,Points,Result,Saeima,Party,District,BallotsForParty
1,"Irēna Saprovska",1,490,55,1568,"",9,1,1,1133
1,"Irēna Saprovska",1,566,68,1846,"",9,1,2,1348
1,"Irēna Saprovska",1,281,35,1023,"",9,1,3,777
1,"Irēna Saprovska",1,152,33,540,"",9,1,4,421
1,"Irēna Saprovska",1,315,38,998,"",9,1,5,721
1,"Nils Ušakovs",1,25165,728,89408,ievēlēts,9,2,1,64971
2,"Sergejs Dolgopolovs",2,15899,1213,79657,ievēlēts,9,2,1,64971
3,"Aleksandrs Mirskis",16,12866,1328,76509,ievēlēts,9,2,1,64971
4,"Artūrs Rubiks",3,11218,1556,74633,ievēlēts,9,2,1,64971
5,"Jānis Urbanovičs",4,10108,783,74296,ievēlēts,9,2,1,64971
6,"Andrejs Klementjevs",5,8921,696,73196,ievēlēts,9,2,1,64971
7,"Boriss Cilevičs",8,8701,835,72837,ievēlēts,9,2,1,64971
8,"Sergejs Mirskis",30,5740,1000,69711,ievēlēts,9,2,1,64971
9,"Ivans Klementjevs",24,4827,675,69123,"ievēlēts Vidzemes apgabalā",9,2,1,64971
10,"Igors Pimenovs",17,4667,797,68841,"",9,2,1,64971
11,"Mihails Zemļinskis",13,4451,795,68627,"",9,2,1,64971
12,"Aleksejs Vidavskis",10,4239,818,68392,"ievēlēts Latgales apgabalā",9,2,1,64971
13,"Aleksejs Holostovs",29,3959,867,68063,"",9,2,1,64971
14,"Igors Zujevs",31,3706,744,67933,"",9,2,1,64971
15,"Leonids Fedosejevs",14,3616,713,67874,"",9,2,1,64971
16,"Vitālijs Orlovs",23,3602,716,67857,"ievēlēts Zemgales apgabalā",9,2,1,64971
17,"Leonīds Kurdjumovs",32,3746,892,67825,"",9,2,1,64971
18,"Viktors Gluhovs",12,3452,687,67736,"",9,2,1,64971
19,"Igors Solovjovs",11,3453,746,67678,"",9,2,1,64971
20,"Valērijs Agešins",20,2980,710,67241,"ievēlēts Kurzemes apgabalā",9,2,1,64971
21,"Nikolajs Zaharovs",15,2998,789,67180,"",9,2,1,64971
22,"Vladimirs Frolovs",28,2870,704,67137,"",9,2,1,64971
23,"Sergejs Hristoļubovs",19,2953,792,67132,"",9,2,1,64971
24,"Anita Jākobsone",6,3030,895,67106,"",9,2,1,64971
25,"Anatolijs Pešehonovs",7,2945,814,67102,"",9,2,1,64971
26,"Aivars Bergers",9,2991,872,67090,"",9,2,1,64971
27,"Viktors Fedotovs",18,2681,717,66935,"",9,2,1,64971
28,"Oļegs Ščipcovs",26,2690,761,66900,"",9,2,1,64971
29,"Vera Pondina",22,2636,772,66835,"",9,2,1,64971
30,"Anatolijs Zolotovskovs",25,2487,715,66743,"",9,2,1,64971
31,"Oļegs Mihaļevičs",27,2437,717,66691,"",9,2,1,64971
32,"Edmunds Karaļuns",21,2339,824,66486,"",9,2,1,64971
1,"Sergejs Dolgopolovs",1,4783,360,20185,"ievēlēts Rīgas apgabalā",9,2,2,15762
2,"Jānis Urbanovičs",3,3061,329,18494,"ievēlēts Rīgas apgabalā",9,2,2,15762
3,"Artūrs Rubiks",2,2968,494,18236,"ievēlēts Rīgas apgabalā",9,2,2,15762
4,"Andrejs Klementjevs",11,2154,297,17619,"ievēlēts Rīgas apgabalā",9,2,2,15762
5,"Boriss Cilevičs",16,1869,328,17303,"ievēlēts Rīgas apgabalā",9,2,2,15762
6,"Ivans Klementjevs",17,1448,296,16914,ievēlēts,9,2,2,15762
7,"Oļegs Deņisovs",7,1444,355,16851,ievēlēts,9,2,2,15762
8,"Igors Pimenovs",29,1238,312,16688,"",9,2,2,15762
9,"Vitālijs Orlovs",9,1241,328,16675,"ievēlēts Zemgales apgabalā",9,2,2,15762
10,"Nikolajs Zaharovs",5,1182,332,16612,"",9,2,2,15762
11,"Vladimirs Barinovs",12,1156,376,16542,"",9,2,2,15762
12,"Guntars Valants",4,1093,391,16464,"",9,2,2,15762
13,"Igors Solovjovs",28,996,302,16456,"",9,2,2,15762
14,"Mihails Rogals",21,1068,384,16446,"",9,2,2,15762
15,"Juris Silovs",10,987,329,16420,"",9,2,2,15762
16,"Anatolijs Bobrovs",15,933,311,16384,"",9,2,2,15762
17,"Aleksandrs Sakovskis",18,869,301,16330,"",9,2,2,15762
18,"Aigars Līdaks",13,898,358,16302,"",9,2,2,15762
19,"Olga Veidiņa",22,886,351,16297,"",9,2,2,15762
20,"Aleksandrs Beknazarovs",14,837,335,16264,"",9,2,2,15762
21,"Svetlana Zeiliša",25,841,341,16262,"",9,2,2,15762
22,"Voldemārs Īvulis",19,796,301,16257,"",9,2,2,15762
23,"Nadežda Krūze",6,881,395,16248,"",9,2,2,15762
24,"Valerijs Strigins",23,798,328,16232,"",9,2,2,15762
25,"Jānis Lapinskis",27,790,340,16212,"",9,2,2,15762
26,"Aivars Bergers",8,790,373,16179,"",9,2,2,15762
27,"Arnis Začs",26,728,388,16102,"",9,2,2,15762
28,"Edmunds Karaļuns",24,694,359,16097,"",9,2,2,15762
29,"Renārs Špade",20,689,389,16062,"",9,2,2,15762
1,"Aleksandrs Mirskis",16,12136,837,48158,"ievēlēts Rīgas apgabalā",9,2,3,36859
2,"Jānis Urbanovičs",1,9099,866,45092,"ievēlēts Rīgas apgabalā",9,2,3,36859
3,"Ivans Ribakovs",5,7571,853,43577,ievēlēts,9,2,3,36859
4,"Jānis Tutins",17,5954,869,41944,ievēlēts,9,2,3,36859
5,"Aleksejs Vidavskis",2,6754,2363,41250,ievēlēts,9,2,3,36859
6,"Boriss Cilevičs",9,4349,1073,40135,"ievēlēts Rīgas apgabalā",9,2,3,36859
7,"Aleksandrs Golubovs",3,3999,1104,39754,ievēlēts,9,2,3,36859
8,"Sergejs Fjodorovs",13,3271,1005,39125,ievēlēts,9,2,3,36859
9,"Martijans Bekasovs",6,3238,1201,38896,"",9,2,3,36859
10,"Oļegs Hļebņikovs",19,2721,884,38696,"",9,2,3,36859
11,"Fridijs Bokišs",18,2765,1083,38541,"",9,2,3,36859
12,"Dagmāra Abramova",15,2694,1165,38388,"",9,2,3,36859
13,"Ļubova Sparāne",10,2686,1277,38268,"",9,2,3,36859
14,"Arnolds Lavrinovičs",4,2538,1132,38265,"",9,2,3,36859
15,"Anita Jākobsone",7,2476,1167,38168,"",9,2,3,36859
16,"Aleksandrs Barbakadze",11,2984,1752,38091,"",9,2,3,36859
17,"Aivars Birulis",8,2399,1269,37989,"",9,2,3,36859
18,"Leonards Sprukts",12,2144,1159,37844,"",9,2,3,36859
19,"Biruta Višņevska",14,2099,1170,37788,"",9,2,3,36859
1,"Valērijs Agešins",1,2299,143,8542,ievēlēts,9,2,4,6386
2,"Artūrs Rubiks",3,1364,234,7516,"ievēlēts Rīgas apgabalā",9,2,4,6386
3,"Elita Kosaka",4,1195,193,7388,"",9,2,4,6386
4,"Jānis Urbanovičs",12,1053,141,7298,"ievēlēts Rīgas apgabalā",9,2,4,6386
5,"Boriss Cilevičs",8,1001,171,7216,"ievēlēts Rīgas apgabalā",9,2,4,6386
6,"Aleksandrs Mirvis",5,838,198,7026,"",9,2,4,6386
7,"Aivars Bergers",2,722,166,6942,"",9,2,4,6386
8,"Jeļena Garbuzova",13,645,182,6849,"",9,2,4,6386
9,"Tatjana Beļikova",16,607,157,6836,"",9,2,4,6386
10,"Sergejs Simčaks",7,605,162,6829,"",9,2,4,6386
11,"Sergejs Bratkovs",11,583,153,6816,"",9,2,4,6386
12,"Mihails Zemļinskis",9,589,162,6813,"",9,2,4,6386
13,"Sergejs Dikterjovs",15,597,174,6809,"",9,2,4,6386
14,"Juris Barkanovs",10,555,175,6766,"",9,2,4,6386
15,"Ilmars Lešinskis",17,536,158,6764,"",9,2,4,6386
16,"Jānis Lapinskis",14,435,157,6664,"",9,2,4,6386
17,"Aivars Saliņš",6,455,202,6639,"",9,2,4,6386
1,"Artūrs Rubiks",3,1794,127,8576,"ievēlēts Rīgas apgabalā",9,2,5,6909
2,"Vitālijs Orlovs",1,1780,114,8575,ievēlēts,9,2,5,6909
3,"Nikolajs Zaharovs",4,715,103,7521,"",9,2,5,6909
4,"Juris Silovs",7,660,100,7469,"",9,2,5,6909
5,"Broņislavs Ivanovskis",6,682,133,7458,"",9,2,5,6909
6,"Mihails Zemļinskis",11,620,104,7425,"",9,2,5,6909
7,"Anita Jākobsone",2,596,128,7377,"",9,2,5,6909
8,"Anatolijs Iļjins",17,550,98,7361,"",9,2,5,6909
9,"Orlando Rozens",5,463,121,7251,"",9,2,5,6909
10,"Kārlis Plūmiņš",9,456,115,7250,"",9,2,5,6909
11,"Eduards Svatkovs",10,437,114,7232,"",9,2,5,6909
12,"Māris Kalve",13,436,113,7232,"",9,2,5,6909
13,"Ainārs Galviņš",15,410,119,7200,"",9,2,5,6909
14,"Aivars Dātavs",18,376,125,7160,"",9,2,5,6909
15,"Jānis Žauna",8,374,124,7159,"",9,2,5,6909
16,"Gunta Šagbazjana",14,381,131,7159,"",9,2,5,6909
17,"Līga Lapinska",12,408,179,7138,"",9,2,5,6909
18,"Edmunds Karaļuns",16,352,127,7134,"",9,2,5,6909
1,"Viktors Kalnbērzs",1,3196,132,12110,"",9,3,1,9046
2,"Sergejs Žuravļovs",3,2644,198,11492,"",9,3,1,9046
3,"Vadims Putins",2,1454,179,10321,"",9,3,1,9046
4,"Jānis Misa",17,960,144,9862,"",9,3,1,9046
5,"Anatolijs Romaņuks",4,915,172,9789,"",9,3,1,9046
6,"Jānis Kuzins",31,875,167,9754,"",9,3,1,9046
7,"Aleksejs Ivanovs",7,796,150,9692,"",9,3,1,9046
8,"Mihails Gavrilovs",6,807,170,9683,"",9,3,1,9046
9,"Marika Žuravļova",32,868,231,9683,"",9,3,1,9046
10,"Jānis Ločmelis",20,781,153,9674,"",9,3,1,9046
11,"Modris Lujāns",16,793,173,9666,"",9,3,1,9046
12,"Vera Zozuļa",13,768,166,9648,"",9,3,1,9046
13,"Rafi Haradžanjans",5,756,201,9601,"",9,3,1,9046
14,"Viktors Svirčenkovs",9,693,152,9587,"",9,3,1,9046
15,"Arkādijs Karijevs",30,735,197,9584,"",9,3,1,9046
16,"Igors Solovjovs",19,657,144,9559,"",9,3,1,9046
17,"Aleksandrs Bogdanovs",24,647,141,9552,"",9,3,1,9046
18,"Normunds Rudevičs",18,634,159,9521,"",9,3,1,9046
19,"Juris Silovs",12,629,155,9520,"",9,3,1,9046
20,"Viktors Zujevs",10,625,154,9517,"",9,3,1,9046
21,"Tatjana Matvejeva",29,615,151,9510,"",9,3,1,9046
