Nr,Saraksts,Rīga,Vidzeme,Latgale,Kurzeme,Zemgale,Kopā,Procenti,Vietas,Aploksnes
1,Vienotība,49479,63116,11608,21770,26590,172563,18.829,20,916469
2,Latvijas Sociāldemokrātiskā strādnieku partija,673,649,394,347,468,2531,0.276,0,916469
3,Zatlera Reformu partija,42977,67051,15787,30749,34292,190856,20.825,22,916469
4,Kristīgi demokrātiskā savienība,521,493,248,383,348,1993,0.217,0,916469
5,Šlesera Reformu partija LPP/LC,8613,5216,3904,1940,2458,22131,2.415,0,916469
6,Saskaņas Centrs,118079,42772,60784,15347,22948,259930,28.362,31,916469
7,PCTVL – Par cilvēka tiesībām vienotā Latvijā,3126,990,1608,434,951,7109,0.776,0,916469
8,Nacionālā apvienība,38086,45613,5350,17499,20660,127208,13.88,14,916469
9,Par prezidentālu republiku,751,788,497,434,411,2881,0.314,0,916469
10,Pēdējā partija,1629,1473,340,464,565,4471,0.488,0,916469
11,Zaļo un Zemnieku savienība,17028,31588,14436,27822,21083,111957,12.216,13,916469
12,Tautas kontrole,601,757,530,279,406,2573,0.281,0,916469
13,"Brīvība. Brīvs no bailēm, naida un dusmām",774,0,0,732,505,2011,0.219,0,916469
0,Kopā,282337,260506,115486,118200,131685,908214,99.099,100,916469
0,Deputātu skaits,30,27,15,13,15,100,0,0,0
