Nr,Saraksts,Rīga,Vidzeme,Latgale,Kurzeme,Zemgale,Kopā,Procenti,Vietas,Aploksnes
1,Tautas kopa Brīvība,783,917,581,389,429,3099,0.321,0,964667
2,Māras zeme,299,966,414,228,331,2238,0.232,0,964667
3,Konservatīvā partija,646,510,518,364,280,2318,0.24,0,964667
4,Latvijas ceļš,33377,53288,36978,23934,25843,173420,17.977,21,964667
5,Sociāldemokrātiskā sieviešu organizācija,746,1018,461,363,545,3133,0.325,0,964667
6,Tautas saskaņas partija,54698,12844,58239,2808,7111,135700,14.067,16,964667
7,Jaunā partija,16283,20514,8783,11643,12991,70214,7.279,8,964667
8,"Darba partijas, KDS, LZP apvienība",5106,6752,3502,3412,3246,22018,2.282,0,964667
9,Latvijas Zemnieku savienība,3302,8174,3601,3964,4691,23732,2.46,0,964667
10,Saimnieks,2316,2906,7142,1425,1621,15410,1.597,0,964667
11,Tautas kustība Latvijai (Zīgerista partija),2203,3921,2959,2215,5349,16647,1.726,0,964667
12,Latvijas Nacionālā reformu partija,188,97,84,37,58,464,0.048,0,964667
13,Nacionālā progresa partija,2424,1004,353,116,625,4522,0.469,0,964667
14,Tautas partija,49788,65292,13935,40316,34254,203585,21.104,24,964667
15,Latvijas Sociāldemokrātu apvienība,28830,36098,14971,19237,23920,123056,12.756,14,964667
16,Latvijas Vienības partija,619,1539,924,716,647,4445,0.461,0,964667
17,Tēvzemei un Brīvībai/LNNK,51751,40407,7388,21468,19759,140773,14.593,17,964667
18,Latvijas Nacionāli demokrātiskā partija,778,895,382,411,461,2927,0.303,0,964667
19,Demokrātu partija,180,230,160,87,135,792,0.082,0,964667
20,Helsinki - 86,565,569,180,444,330,2088,0.216,0,964667
21,Latvijas Atdzimšanas partija,1257,1454,931,662,696,5000,0.518,0,964667
0,Kopā,256139,259395,162486,134239,143322,955581,99.058,100,964667
0,Deputātu skaits,28,25,18,14,15,100,0,0,0
