Nr,Saraksts,Rīga,Vidzeme,Latgale,Kurzeme,Zemgale,Kopā,Procenti,Vietas,Aploksnes
1,PCTVL – Par cilvēka tiesībām vienotā Latvijā,5521,2347,3661,551,1767,13847,1.434,0,965538
2,Vienotība,85832,110194,19231,38383,47789,301429,31.219,33,965538
3,Ražots Latvijā,2308,2609,931,1789,1743,9380,0.971,0,965538
4,Saskaņas Centrs,117064,38873,59281,15534,20648,251400,26.037,29,965538
5,Tautas kontrole,1048,1097,548,600,709,4002,0.414,0,965538
6,Zaļo un Zemnieku savienība,31508,58909,20844,40648,38116,190025,19.681,22,965538
7,Par prezidentālu republiku,1524,2171,983,1289,1135,7102,0.736,0,965538
8,Par Labu Latviju,23073,16696,15387,9846,8879,73881,7.652,8,965538
9,Atbildība – sociāldemokrātiska politisko partiju apvienība,1134,1742,1259,1068,936,6139,0.636,0,965538
10,Daugava – Latvijai,434,443,420,141,223,1661,0.172,0,965538
11,Pēdējā partija,2734,2603,832,973,1316,8458,0.876,0,965538
12,Nacionālā apvienība,21821,26349,3958,9446,12455,74029,7.667,8,965538
13,Kristīgi demokrātiskā savienība,906,830,820,473,459,3488,0.361,0,965538
0,Kopā,294907,264863,128155,120741,136175,944841,97.856,100,965538
0,Deputātu skaits,29,27,16,13,15,100,0,0,0
