"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Māris Grīnblats",1,16553,429,59731,"ievēlēts",6,"TB",14,"Rīga",43607
2,"Leopolds Ozoliņš",22,9419,1068,51958,"ievēlēts",6,"TB",14,"Rīga",43607
3,"Juris Sinka",4,5759,1563,47803,"ievēlēts",6,"TB",14,"Rīga",43607
4,"Aleksandrs Pētersons",19,4111,1075,46643,"ievēlēts",6,"TB",14,"Rīga",43607
5,"Normunds Pēterkops ",2,4139,1541,46205,"                ievēlēts",6,"TB",14,"Rīga",43607
6,"Roberts Zīle",3,3286,733,46160,"ievēlēts Kurzemes apgabalā",6,"TB",14,"Rīga",43607
7,"Jānis Priedkalns",21,2462,724,45345,,6,"TB",14,"Rīga",43607
8,"Jānis Straume",7,2773,1221,45159,"ievēlēts Vidzemes apgabalā",6,"TB",14,"Rīga",43607
9,"Juris Putriņš",11,2339,794,45152," ",6,"TB",14,"Rīga",43607
10,"Palmira Lāce",10,2545,1238,44914," ",6,"TB",14,"Rīga",43607
11,"Dzintars Rasnačs",6,2523,1274,44856," ",6,"TB",14,"Rīga",43607
12,"Signe Poritere",9,2415,1202,44820," ",6,"TB",14,"Rīga",43607
13,"Heinrihs Lācis",12,2178,1023,44762," ",6,"TB",14,"Rīga",43607
14,"Valdis Rožukalns",15,1527,775,44359," ",6,"TB",14,"Rīga",43607
15,"Gunārs Pāvuls",24,1644,991,44260," ",6,"TB",14,"Rīga",43607
16,"Dāgs Auzuleja",14,1618,1144,44081," ",6,"TB",14,"Rīga",43607
17,"Andris Pauls-Pāvuls",16,1571,1194,43984," ",6,"TB",14,"Rīga",43607
18,"Leons Amoliņš",25,1392,1154,43845," ",6,"TB",14,"Rīga",43607
19,"Aigars Ķimenis",8,1195,962,43840," ",6,"TB",14,"Rīga",43607
20,"Aija Bērziņa",20,1210,1130,43687," ",6,"TB",14,"Rīga",43607
21,"Jānis Ivanovskis",13,1242,1164,43685," ",6,"TB",14,"Rīga",43607
22,"Guntars Krasts",23,970,893,43684," ",6,"TB",14,"Rīga",43607
23,"Māris Raimonds Gailis",26,1204,1217,43594," ",6,"TB",14,"Rīga",43607
24,"Aigars Jirgens",5,3248,3314,43541,"ievēlēts Kurzemes apgabalā",6,"TB",14,"Rīga",43607
25,"Anita Brence",17,1199,1270,43536," ",6,"TB",14,"Rīga",43607
26,"Andrejs Brants",18,782,1031,43358,,6,"TB",14,"Rīga",43607
1,"Māris Grīnblats",1,12251,324,44868,"ievēlēts Rīgas apgabalā",6,"TB",14,"Vidzeme",32941
2,"Leopolds Ozoliņš",9,6969,726,39184,"ievēlēts Rīgas apgabalā",6,"TB",14,"Vidzeme",32941
3,"Oskars Grīgs",6,3834,715,36060,"ievēlēts",6,"TB",14,"Vidzeme",32941
4,"Juris Galerijs Vidiņš",5,3323,737,35527,"ievēlēts",6,"TB",14,"Vidzeme",32941
5,"Aleksandrs Pētersons",11,3168,912,35197,"ievēlēts Rīgas apgabalā",6,"TB",14,"Vidzeme",32941
