"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Viktors Kalnbērzs",2,2682,158,12076,"ievēlēts Latgales apgabalā",6,"Vienības partija",4,"Rīga",9552
2,"Gundars Valdmanis",1,982,239,10295,"ievēlēts",6,"Vienības partija",4,"Rīga",9552
3,"Viesturs Gredzens",9,777,227,10102,"ievēlēts Vidzemes apgabalā",6,"Vienības partija",4,"Rīga",9552
4,"Visvaldis Mucenieks",4,695,250,9997," ",6,"Vienības partija",4,"Rīga",9552
5,"Juris Bergmanis",12,622,224,9950," ",6,"Vienības partija",4,"Rīga",9552
6,"Jānis Čudars",5,615,246,9921," ",6,"Vienības partija",4,"Rīga",9552
7,"Aivars Siliņš",8,602,234,9920," ",6,"Vienības partija",4,"Rīga",9552
8,"Aivars Saliņš",7,589,244,9897," ",6,"Vienības partija",4,"Rīga",9552
9,"Voldemārs Jaronis",3,621,279,9894," ",6,"Vienības partija",4,"Rīga",9552
10,"Raimonds Puksts",10,568,238,9882," ",6,"Vienības partija",4,"Rīga",9552
11,"Valda Kļaviņa",6,591,287,9856," ",6,"Vienības partija",4,"Rīga",9552
12,"Ralfs Sviriņš",11,508,255,9805," ",6,"Vienības partija",4,"Rīga",9552
13,"Heino Jankovskis",13,513,269,9796,,6,"Vienības partija",4,"Rīga",9552
1,"Viesturs Gredzens",4,3961,283,27735,"ievēlēts",6,"Vienības partija",4,"Vidzeme",24337
2,"Raitis Apalups",7,2401,368,26370,"ievēlēts",6,"Vienības partija",4,"Vidzeme",24337
3,"Roberts Dilba",2,2351,353,26335,"ievēlēts",6,"Vienības partija",4,"Vidzeme",24337
4,"Gatis Zariņš",1,2167,398,26106," ",6,"Vienības partija",4,"Vidzeme",24337
5,"Jānis Jurašs",13,1986,322,26001," ",6,"Vienības partija",4,"Vidzeme",24337
6,"Antons Kažemaks",5,1860,375,25822," ",6,"Vienības partija",4,"Vidzeme",24337
7,"Mētra Kalniņa",14,1866,484,25719," ",6,"Vienības partija",4,"Vidzeme",24337
8,"Edvīns Ķelpis",3,1712,340,25709," ",6,"Vienības partija",4,"Vidzeme",24337
9,"Jānis Pīgoznis",9,1689,371,25655," ",6,"Vienības partija",4,"Vidzeme",24337
10,"Andris Lacbergs",10,1465,328,25474," ",6,"Vienības partija",4,"Vidzeme",24337
11,"Ēriks Amoliņš",12,1508,378,25467," ",6,"Vienības partija",4,"Vidzeme",24337
12,"Edīte Kupča",6,1523,431,25429," ",6,"Vienības partija",4,"Vidzeme",24337
13,"Lilita Dravniece",11,1402,449,25290," ",6,"Vienības partija",4,"Vidzeme",24337
14,"Harijs Trinkūns",8,1136,386,25087," ",6,"Vienības partija",4,"Vidzeme",24337
1,"Viktors Kalnbērzs",2,2176,382,16211,"ievēlēts",6,"Vienības partija",4,"Latgale",14417
2,"Anatolijs Tučs",1,2071,452,16036,"ievēlēts",6,"Vienības partija",4,"Latgale",14417
3,"Ādolfs Ločmelis",3,1537,455,15499,,6,"Vienības partija",4,"Latgale",14417
4,"Broņislavs Brakovskis",11,1433,489,15361," ",6,"Vienības partija",4,"Latgale",14417
5,"Boļeslavs Laganovskis",9,1366,499,15284," ",6,"Vienības partija",4,"Latgale",14417
6,"Broņislavs Laizāns",8,1375,564,15228," ",6,"Vienības partija",4,"Latgale",14417
7,"Regīna Darapoļska",4,1451,709,15159," ",6,"Vienības partija",4,"Latgale",14417
8,"Regīna Brokāne",7,1226,682,14961," ",6,"Vienības partija",4,"Latgale",14417
9,"Eduards Matisāns",6,997,478,14936," ",6,"Vienības partija",4,"Latgale",14417
10,"Vilis Kuzmins",5,1134,739,14812," ",6,"Vienības partija",4,"Latgale",14417
11,"Dzintars Meščanovs",10,967,808,14576," ",6,"Vienības partija",4,"Latgale",14417
1,"Jānis Rubulis",1,2303,75,11157,"ievēlēts Zemgales apgabalā",6,"Vienības partija",4,"Kurzeme",8929
2,"Edgars Bāns",9,1162,91,10000,"ievēlēts",6,"Vienības partija",4,"Kurzeme",8929
3,"Māris Ikaunieks",7,874,94,9709," ",6,"Vienības partija",4,"Kurzeme",8929
4,"Edgars Stonis",5,878,126,9681," ",6,"Vienības partija",4,"Kurzeme",8929
5,"Jānis Muižnieks",8,893,173,9649," ",6,"Vienības partija",4,"Kurzeme",8929
6,"Aivars Kļaviņš",3,782,119,9592," ",6,"Vienības partija",4,"Kurzeme",8929
7,"Gundars Valdmanis",2,720,117,9532,"ievēlēts Rīgas apgabalā",6,"Vienības partija",4,"Kurzeme",8929
8,"Eižens Počs",4,721,122,9528," ",6,"Vienības partija",4,"Kurzeme",8929
9,"Savina Kolomenska",6,582,198,9313,,6,"Vienības partija",4,"Kurzeme",8929
1,"Viesturs Gredzens",2,2474,153,13391,"ievēlēts Vidzemes apgabalā",6,"Vienības partija",4,"Zemgale",11070
2,"Jānis Rubulis",10,1730,158,12642,"ievēlēts",6,"Vienības partija",4,"Zemgale",11070
3,"Māris Ikaunieks",5,1378,190,12258," ",6,"Vienības partija",4,"Zemgale",11070
4,"Velga Lejniece",1,1107,243,11934," ",6,"Vienības partija",4,"Zemgale",11070
5,"Ivars Amoliņš",4,1087,247,11910," ",6,"Vienības partija",4,"Zemgale",11070
6,"Jānis Apsītis",8,990,199,11861," ",6,"Vienības partija",4,"Zemgale",11070
7,"Egīls Seņkāns",9,963,205,11828," ",6,"Vienības partija",4,"Zemgale",11070
