"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Aleksandrs Kiršteins",1,5457,1093,28152,"ievēlēts",6,"LNNK un LZP",18,"Rīga",24275
2,"Andrejs Krastiņš",3,4875,1137,27733,"ievēlēts",6,"LNNK un LZP",18,"Rīga",24275
3,"Juris Dobelis",5,4825,1774,27326,"ievēlēts",6,"LNNK un LZP",18,"Rīga",24275
4,"Oļegs Batarevskis",2,2733,638,26370," ",6,"LNNK un LZP",18,"Rīga",24275
5,"Baiba Pētersone",4,3230,1140,26365," ",6,"LNNK un LZP",18,"Rīga",24275
6,"Indulis Emsis",7,2427,518,26184,"ievēlēts Vidzemes apgabalā",6,"LNNK un LZP",18,"Rīga",24275
7,"Einārs Cilinskis",6,2439,622,26092," ",6,"LNNK un LZP",18,"Rīga",24275
8,"Māris Budovskis",14,2409,950,25734," ",6,"LNNK un LZP",18,"Rīga",24275
9,"Aristids Jēkabs Lambergs",8,2680,1616,25339,"ievēlēts Zemgales apgabalā",6,"LNNK un LZP",18,"Rīga",24275
10,"Romāns Pussars",9,1792,997,25070," ",6,"LNNK un LZP",18,"Rīga",24275
11,"Dainis Locis",10,899,498,24676," ",6,"LNNK un LZP",18,"Rīga",24275
12,"Inese Vaidere",13,919,699,24495," ",6,"LNNK un LZP",18,"Rīga",24275
13,"Anna Kaļķe",19,901,682,24494," ",6,"LNNK un LZP",18,"Rīga",24275
14,"Elmārs Vēbers",11,762,646,24391," ",6,"LNNK un LZP",18,"Rīga",24275
15,"Aigars Strauss",18,961,970,24266," ",6,"LNNK un LZP",18,"Rīga",24275
16,"Mārcis Cīrulis",17,575,632,24218," ",6,"LNNK un LZP",18,"Rīga",24275
17,"Pēteris Jansons",12,512,590,24197," ",6,"LNNK un LZP",18,"Rīga",24275
18,"Mirdza Vītola",15,1130,1248,24157," ",6,"LNNK un LZP",18,"Rīga",24275
19,"Harijs Osis",21,436,651,24060," ",6,"LNNK un LZP",18,"Rīga",24275
20,"Ita Zariņa",27,631,868,24038," ",6,"LNNK un LZP",18,"Rīga",24275
21,"Valdis Felsbergs",23,419,671,24023," ",6,"LNNK un LZP",18,"Rīga",24275
22,"Egīls Romanovskis",20,405,664,24016," ",6,"LNNK un LZP",18,"Rīga",24275
