"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Armands Māliņš",1,65,21,472," ",6,"LNDP",11,"Rīga",428
2,"Vilnis Matrozis",2,42,13,457," ",6,"LNDP",11,"Rīga",428
3,"Sigurds Lange",4,32,11,449," ",6,"LNDP",11,"Rīga",428
4,"Andris Strods",10,33,12,449," ",6,"LNDP",11,"Rīga",428
5,"Bruno Sniķeris",6,26,13,441," ",6,"LNDP",11,"Rīga",428
6,"Vilnis Zālītis",18,26,14,440," ",6,"LNDP",11,"Rīga",428
7,"Biruta Vecroze",3,30,20,438," ",6,"LNDP",11,"Rīga",428
8,"Ziedonis Lasenbergs",11,22,14,436," ",6,"LNDP",11,"Rīga",428
9,"Maija Graudiņa",16,22,15,435," ",6,"LNDP",11,"Rīga",428
10,"Irēna Franckeviča",14,18,13,433," ",6,"LNDP",11,"Rīga",428
11,"Aivars Pauliņš",19,18,13,433," ",6,"LNDP",11,"Rīga",428
12,"Juris Jakaitis",5,19,15,432," ",6,"LNDP",11,"Rīga",428
13,"Igors Māris Golovčiks",8,23,19,432," ",6,"LNDP",11,"Rīga",428
14,"Artūrs Bērziņš",12,16,13,431," ",6,"LNDP",11,"Rīga",428
15,"Aivars Gulbis",8,18,16,430," ",6,"LNDP",11,"Rīga",428
16,"Jānis Raitums",23,17,15,430," ",6,"LNDP",11,"Rīga",428
17,"Kārlis Laimonis Trencis",7,17,17,428," ",6,"LNDP",11,"Rīga",428
18,"Irina Jurkštas",13,15,15,428," ",6,"LNDP",11,"Rīga",428
19,"Aivars Bērziņš",15,15,15,428," ",6,"LNDP",11,"Rīga",428
20,"Laimonis Lauva",24,13,13,428," ",6,"LNDP",11,"Rīga",428
21,"Jānis Krauklis",25,12,15,425," ",6,"LNDP",11,"Rīga",428
22,"Jānis Gulbis",21,11,15,424," ",6,"LNDP",11,"Rīga",428
23,"Elmārs Kļimenkovs",17,7,13,422," ",6,"LNDP",11,"Rīga",428
24,"Rihards Putiķis",20,7,14,421," ",6,"LNDP",11,"Rīga",428
25,"Gundars Edvīns Preijers",22,7,17,418," ",6,"LNDP",11,"Rīga",428
1,"Armands Māliņš",13,44,11,379," ",6,"LNDP",11,"Vidzeme",346
2,"Vilnis Zālītis",1,33,14,365," ",6,"LNDP",11,"Vidzeme",346
3,"Bruno Sniķeris",2,27,13,360," ",6,"LNDP",11,"Vidzeme",346
4,"Sarmīte Grīnberga",4,17,13,350," ",6,"LNDP",11,"Vidzeme",346
5,"Jānis Vītols",3,16,13,349," ",6,"LNDP",11,"Vidzeme",346
6,"Laimonis Lauva",6,16,13,349," ",6,"LNDP",11,"Vidzeme",346
7,"Visvaldis Juršēvičs",9,16,13,349," ",6,"LNDP",11,"Vidzeme",346
8,"Viesturs Lūsis",5,18,16,348," ",6,"LNDP",11,"Vidzeme",346
