"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Valerjans Ivanovs",1,973,80,5174," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
2,"Ļubova Aņičkina",2,694,112,4863," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
3,"Konstantīns Tihomirovs",5,676,102,4855," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
4,"Olga Lavriņenko",4,685,124,4842," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
5,"Aleksandrs Narnickis",3,648,107,4822," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
6,"Juris Ivanovs",10,627,114,4794," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
7,"Svjatoslavs Makārovs",8,601,102,4780," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
8,"Vladimirs Jefimovs",12,584,100,4765," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
9,"Ludmila Jančenkova",13,583,110,4754," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
10,"Lija Astāhova",7,587,133,4735," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
11,"Raisa Soročina",11,558,129,4710," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
12,"Andrejs Arhipovs-Prokofjevs",6,549,129,4701," ",6,"Krievu pilsoņu partija",8,"Rīga",4281
13,"Māra Nāruka",9,543,167,4657,,6,"Krievu pilsoņu partija",8,"Rīga",4281
1,"Valerjans Ivanovs",1,346,70,1996," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
2,"Olga Lavriņenko",4,265,86,1899," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
3,"Ļubova Aņičkina",2,241,90,1871," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
4,"Konstantīns Tihomirovs",5,224,80,1864," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
5,"Aleksandrs Narnickis",3,230,87,1863," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
6,"Svjatoslavs Makārovs",8,217,77,1860," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
7,"Juris Ivanovs",9,228,89,1859," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
8,"Lija Astāhova",7,221,85,1856," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
9,"Ludmila Jančenkova",12,216,82,1854," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
10,"Vladimirs Jefimovs",11,206,74,1852," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
11,"Raisa Soročina",10,201,93,1828," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
12,"Andrejs Arhipovs-Prokofjevs",6,184,86,1818," ",6,"Krievu pilsoņu partija",8,"Vidzeme",1720
1,"Valerjans Ivanovs",1,665,70,4983," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
2,"Olga Lavriņenko",4,460,105,4743," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
3,"Aleksandrs Narnickis",3,419,97,4710," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
4,"Ļubova Aņičkina",2,429,108,4709," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
5,"Konstantīns Tihomirovs",5,411,98,4701," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
6,"Svjatoslavs Makārovs",8,387,101,4674," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
7,"Ivans Kiseļovs",14,384,98,4674," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
8,"Vladimirs Jefimovs",12,365,100,4653," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
9,"Juris Ivanovs",10,372,109,4651," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
10,"Lija Astāhova",7,360,117,4631," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
11,"Raisa Soročina",11,348,110,4626," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
12,"Andrejs Arhipovs-Prokofjevs",6,340,108,4620," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
13,"Ludmila Jančenkova",13,335,108,4615," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
14,"Māra Nāruka",9,328,153,4563," ",6,"Krievu pilsoņu partija",8,"Latgale",4388
1,"Valerjans Ivanovs",1,93,16,588," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
2,"Ļubova Aņičkina",2,70,17,564," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
3,"Aleksandrs Narnickis",3,67,18,560," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
4,"Vladimirs Jefimovs",12,61,18,554," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
5,"Konstantīns Tihomirovs",5,58,16,553," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
6,"Andrejs Arhipovs-Prokofjevs",6,58,16,553," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
7,"Olga Lavriņenko",4,61,21,551," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
8,"Juris Ivanovs",10,53,20,544," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
9,"Ludmila Jančenkova",13,53,22,542," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
10,"Lija Astāhova",7,50,24,537," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
11,"Svjatoslavs Makārovs",8,45,20,536," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
12,"Raisa Soročina",11,47,22,536," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
13,"Māra Nāruka",9,45,25,531," ",6,"Krievu pilsoņu partija",8,"Kurzeme",511
1,"Valerjans Ivanovs",1,254,33,1245," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
2,"Ļubova Aņičkina",2,175,48,1151," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
3,"Konstantīns Tihomirovs",5,156,42,1138," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
4,"Aleksandrs Narnickis",3,160,47,1137," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
5,"Olga Lavriņenko",4,156,44,1136," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
6,"Svjatoslavs Makārovs",8,149,37,1136," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
7,"Juris Ivanovs",10,151,46,1129," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
8,"Vladimirs Jefimovs",12,138,37,1125," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
9,"Lija Astāhova",7,145,45,1124," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
10,"Ludmila Jančenkova",13,128,44,1108," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
11,"Andrejs Arhipovs-Prokofjevs",6,132,50,1106," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
12,"Raisa Soročina",11,121,44,1101," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
13,"Māra Nāruka",9,121,53,1092," ",6,"Krievu pilsoņu partija",8,"Zemgale",1024
