"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Helēna Celmiņa",1,212,39,1404," ",6,"Mūsu zeme",12,"Rīga",1231
2,"Pauls Mucenieks",5,188,34,1385," ",6,"Mūsu zeme",12,"Rīga",1231
3,"Pēteris Lazda",4,178,37,1372," ",6,"Mūsu zeme",12,"Rīga",1231
4,"Viktors Kalniņš",7,129,36,1324," ",6,"Mūsu zeme",12,"Rīga",1231
5,"Jānis Rozenbergs",8,87,32,1286," ",6,"Mūsu zeme",12,"Rīga",1231
6,"Ilze Krastiņa",10,85,34,1282," ",6,"Mūsu zeme",12,"Rīga",1231
7,"Guntis Bite",11,83,37,1277," ",6,"Mūsu zeme",12,"Rīga",1231
8,"Ilmārs Ančāns",2,83,41,1273," ",6,"Mūsu zeme",12,"Rīga",1231
9,"Miervaldis Ceimurs",6,65,38,1258," ",6,"Mūsu zeme",12,"Rīga",1231
10,"Maruta Dambekalne",9,61,35,1257," ",6,"Mūsu zeme",12,"Rīga",1231
11,"Ingars Krieviņš",3,61,42,1250," ",6,"Mūsu zeme",12,"Rīga",1231
12,"Pāvels Ivdra",20,60,43,1248," ",6,"Mūsu zeme",12,"Rīga",1231
13,"Dzintra Putniņa",13,48,32,1247," ",6,"Mūsu zeme",12,"Rīga",1231
14,"Elita Ābele",17,56,42,1245," ",6,"Mūsu zeme",12,"Rīga",1231
15,"Viktors Ozols",22,49,36,1244," ",6,"Mūsu zeme",12,"Rīga",1231
16,"Vilhelms Klincāns",27,43,35,1239," ",6,"Mūsu zeme",12,"Rīga",1231
17,"Anita Vītiņa",25,49,42,1238," ",6,"Mūsu zeme",12,"Rīga",1231
18,"Edvīns Zigfrīds Ābuls",12,47,42,1236," ",6,"Mūsu zeme",12,"Rīga",1231
19,"Anna Circene",18,47,42,1236," ",6,"Mūsu zeme",12,"Rīga",1231
20,"Laimonis Ernests Kops",19,45,41,1235," ",6,"Mūsu zeme",12,"Rīga",1231
21,"Mārīte Kalnberga",23,43,39,1235," ",6,"Mūsu zeme",12,"Rīga",1231
22,"Vijtauts Brūvelis",14,45,42,1234," ",6,"Mūsu zeme",12,"Rīga",1231
23,"Dace Voita",16,43,50,1224," ",6,"Mūsu zeme",12,"Rīga",1231
24,"Vilors Atlavins",26,36,44,1223," ",6,"Mūsu zeme",12,"Rīga",1231
25,"Ernests Zīlmanis",21,33,42,1222," ",6,"Mūsu zeme",12,"Rīga",1231
26,"Zigrīda Ilgača",15,34,46,1219," ",6,"Mūsu zeme",12,"Rīga",1231
27,"Daila Lankovska",24,31,52,1210," ",6,"Mūsu zeme",12,"Rīga",1231
1,"Pauls Mucenieks",1,260,29,1700," ",6,"Mūsu zeme",12,"Vidzeme",1469
2,"Pēteris Lazda",7,240,31,1678," ",6,"Mūsu zeme",12,"Vidzeme",1469
3,"Helēna Celmiņa",6,215,38,1646," ",6,"Mūsu zeme",12,"Vidzeme",1469
4,"Viktors Kalniņš",4,149,37,1581," ",6,"Mūsu zeme",12,"Vidzeme",1469
5,"Jānis Rozenbergs",5,94,26,1537," ",6,"Mūsu zeme",12,"Vidzeme",1469
6,"Ilmārs Ančāns",3,87,37,1519," ",6,"Mūsu zeme",12,"Vidzeme",1469
7,"Viktors Ozols",10,67,26,1510," ",6,"Mūsu zeme",12,"Vidzeme",1469
8,"Pāvels Ivdra",13,72,31,1510," ",6,"Mūsu zeme",12,"Vidzeme",1469
9,"Guntis Bite",19,67,33,1503," ",6,"Mūsu zeme",12,"Vidzeme",1469
10,"Ilze Krastiņa",12,63,30,1502," ",6,"Mūsu zeme",12,"Vidzeme",1469
11,"Maruta Dambekalne",2,62,33,1498," ",6,"Mūsu zeme",12,"Vidzeme",1469
12,"Vijtauts Brūvelis",9,55,28,1496," ",6,"Mūsu zeme",12,"Vidzeme",1469
13,"Māris Balodis",14,56,29,1496," ",6,"Mūsu zeme",12,"Vidzeme",1469
14,"Anna Circene",8,58,37,1490," ",6,"Mūsu zeme",12,"Vidzeme",1469
15,"Miervaldis Ceimurs",11,52,31,1490," ",6,"Mūsu zeme",12,"Vidzeme",1469
16,"Vilhelms Klincāns",20,46,30,1485," ",6,"Mūsu zeme",12,"Vidzeme",1469
17,"Vilors Atlavins",25,47,31,1485," ",6,"Mūsu zeme",12,"Vidzeme",1469
18,"Elita Ābele",15,56,44,1481," ",6,"Mūsu zeme",12,"Vidzeme",1469
19,"Dzintra Putniņa",17,46,38,1477," ",6,"Mūsu zeme",12,"Vidzeme",1469
20,"Ingars Krieviņš",21,38,30,1477," ",6,"Mūsu zeme",12,"Vidzeme",1469
21,"Ernests Zīlmanis",23,39,32,1476," ",6,"Mūsu zeme",12,"Vidzeme",1469
22,"Anita Vītiņa",22,44,41,1472," ",6,"Mūsu zeme",12,"Vidzeme",1469
23,"Zigrīda Ilgača",24,40,38,1471," ",6,"Mūsu zeme",12,"Vidzeme",1469
24,"Dace Voita",18,42,42,1469," ",6,"Mūsu zeme",12,"Vidzeme",1469
25,"Daila Lankovska",16,36,41,1464," ",6,"Mūsu zeme",12,"Vidzeme",1469
1,"Pēteris Lazda",4,77,19,690," ",6,"Mūsu zeme",12,"Latgale",632
2,"Pauls Mucenieks",10,72,18,686," ",6,"Mūsu zeme",12,"Latgale",632
