"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Tālavs Jundzis",2,977,87,4003," ",6,"LTF",15,"Rīga",3113
2,"Uldis Augstkalns",1,590,165,3538," ",6,"LTF",15,"Rīga",3113
3,"Vilnis Zariņš",9,479,67,3525," ",6,"LTF",15,"Rīga",3113
4,"Jānis Freimanis",4,370,79,3404," ",6,"LTF",15,"Rīga",3113
5,"Vilnis Meliņš",13,324,80,3357," ",6,"LTF",15,"Rīga",3113
6,"Baiba Šāberte",5,313,113,3313," ",6,"LTF",15,"Rīga",3113
7,"Visvaldis Aivars",3,192,65,3240," ",6,"LTF",15,"Rīga",3113
8,"Dzintra Hirša",8,200,80,3233," ",6,"LTF",15,"Rīga",3113
9,"Juris Kokins",6,159,66,3206," ",6,"LTF",15,"Rīga",3113
10,"Leonīds Alksnis",14,148,77,3184," ",6,"LTF",15,"Rīga",3113
11,"Uldis Greiškalns",12,133,67,3179," ",6,"LTF",15,"Rīga",3113
12,"Ints Zītars",10,119,66,3166," ",6,"LTF",15,"Rīga",3113
13,"Jānis Kajaks",24,114,64,3163," ",6,"LTF",15,"Rīga",3113
14,"Ojārs Bušs",20,97,54,3156," ",6,"LTF",15,"Rīga",3113
15,"Arvīds Kalme",15,107,70,3150," ",6,"LTF",15,"Rīga",3113
16,"Pēteris Mežavilks",16,95,68,3140," ",6,"LTF",15,"Rīga",3113
17,"Eva Stankevica",18,103,88,3128," ",6,"LTF",15,"Rīga",3113
18,"Aldis Lauzis",11,95,81,3127," ",6,"LTF",15,"Rīga",3113
19,"Kārlis Timmermanis",23,83,70,3126," ",6,"LTF",15,"Rīga",3113
20,"Brigita Tamane",17,85,73,3125," ",6,"LTF",15,"Rīga",3113
21,"Aina Apsīte",19,85,77,3121," ",6,"LTF",15,"Rīga",3113
22,"Inguna Cepīte",26,88,81,3120," ",6,"LTF",15,"Rīga",3113
23,"Irena Pundure",21,81,80,3114," ",6,"LTF",15,"Rīga",3113
24,"Nikolajs Avens",7,83,88,3108," ",6,"LTF",15,"Rīga",3113
25,"Jānis Grigals",25,73,80,3106," ",6,"LTF",15,"Rīga",3113
26,"Leontijs Vizulis",22,64,74,3103," ",6,"LTF",15,"Rīga",3113
27,"Gunārs Lesiņš",27,67,78,3102," ",6,"LTF",15,"Rīga",3113
1,"Tālavs Jundzis",1,1136,49,4242," ",6,"LTF",15,"Vidzeme",3155
2,"Uldis Augstkalns",6,509,111,3553," ",6,"LTF",15,"Vidzeme",3155
3,"Vilnis Meliņš",7,338,84,3409," ",6,"LTF",15,"Vidzeme",3155
4,"Jānis Freimanis",3,309,70,3394," ",6,"LTF",15,"Vidzeme",3155
5,"Vilnis Zariņš",8,304,82,3377," ",6,"LTF",15,"Vidzeme",3155
6,"Juris Kokins",2,275,86,3344," ",6,"LTF",15,"Vidzeme",3155
7,"Baiba Šāberte",9,263,110,3308," ",6,"LTF",15,"Vidzeme",3155
8,"Leonīds Alksnis",4,162,99,3218," ",6,"LTF",15,"Vidzeme",3155
9,"Dzintra Hirša",21,139,84,3210," ",6,"LTF",15,"Vidzeme",3155
10,"Uldis Greiškalns",14,158,105,3208," ",6,"LTF",15,"Vidzeme",3155
11,"Uldis Zītars",10,148,99,3204," ",6,"LTF",15,"Vidzeme",3155
12,"Ints Zītars",18,117,84,3188," ",6,"LTF",15,"Vidzeme",3155
13,"Visvaldis Aivars",16,102,83,3174," ",6,"LTF",15,"Vidzeme",3155
14,"Ēvalds Apīnis",24,105,89,3171," ",6,"LTF",15,"Vidzeme",3155
15,"Jānis Rode",15,105,90,3170," ",6,"LTF",15,"Vidzeme",3155
16,"Juris Annuškāns",12,99,88,3166," ",6,"LTF",15,"Vidzeme",3155
17,"Dzidra Kreišmane",22,101,92,3164," ",6,"LTF",15,"Vidzeme",3155
18,"Aina Ināra Ranne",17,97,107,3145," ",6,"LTF",15,"Vidzeme",3155
19,"Aldis Lauzis",5,85,96,3144," ",6,"LTF",15,"Vidzeme",3155
20,"Ainārs Zelčs",25,92,105,3142," ",6,"LTF",15,"Vidzeme",3155
21,"Brigita Tamane",13,75,93,3137," ",6,"LTF",15,"Vidzeme",3155
