"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Arnis Mētra",4,62,39,626," ",6,"Demokrātu partija",19,"Rīga",603
2,"Aivars Andersons",1,67,48,622," ",6,"Demokrātu partija",19,"Rīga",603
3,"Jānis Misa",3,55,42,616," ",6,"Demokrātu partija",19,"Rīga",603
4,"Ivars Vīks",6,49,51,601," ",6,"Demokrātu partija",19,"Rīga",603
5,"Viktors Koroņevskis",16,35,42,596," ",6,"Demokrātu partija",19,"Rīga",603
6,"Jānis Briedis",19,28,44,587," ",6,"Demokrātu partija",19,"Rīga",603
7,"Osvalds Pantelons",5,27,46,584," ",6,"Demokrātu partija",19,"Rīga",603
8,"Ilze Jansone",15,44,63,584," ",6,"Demokrātu partija",19,"Rīga",603
9,"Anita Lubova",13,25,45,583," ",6,"Demokrātu partija",19,"Rīga",603
10,"Andrejs Vinovskis",8,25,46,582," ",6,"Demokrātu partija",19,"Rīga",603
11,"Edvīns Čulkstēns",25,18,40,581," ",6,"Demokrātu partija",19,"Rīga",603
12,"Kārlis Jansons",20,17,42,578," ",6,"Demokrātu partija",19,"Rīga",603
13,"Vilnis Veldre",22,16,43,576," ",6,"Demokrātu partija",19,"Rīga",603
14,"Juris Bērziņš",23,17,45,575," ",6,"Demokrātu partija",19,"Rīga",603
15,"Oļģerts Krauklis",7,22,51,574," ",6,"Demokrātu partija",19,"Rīga",603
16,"Elita Ose",11,18,47,574," ",6,"Demokrātu partija",19,"Rīga",603
17,"Juris Gustavs",24,17,46,574," ",6,"Demokrātu partija",19,"Rīga",603
18,"Rolands Pētersons",26,14,43,574," ",6,"Demokrātu partija",19,"Rīga",603
19,"Vilis Lode",27,13,43,573," ",6,"Demokrātu partija",19,"Rīga",603
20,"Jānis Valdemārs Liepiņš",12,17,48,572," ",6,"Demokrātu partija",19,"Rīga",603
21,"Dace Gaile",14,13,44,572," ",6,"Demokrātu partija",19,"Rīga",603
22,"Arnolds Strazdiņš",18,11,44,570," ",6,"Demokrātu partija",19,"Rīga",603
23,"Gvido Harijs Volbrugs",9,22,56,569," ",6,"Demokrātu partija",19,"Rīga",603
24,"Māris Ošs",21,15,50,568," ",6,"Demokrātu partija",19,"Rīga",603
25,"Anita Dimanta",17,12,48,567," ",6,"Demokrātu partija",19,"Rīga",603
26,"Harijs Verhovskis",10,12,58,557," ",6,"Demokrātu partija",19,"Rīga",603
27,"Marģers Martinsons",2,25,95,533," ",6,"Demokrātu partija",19,"Rīga",603
1,"Ivars Vīks",7,46,35,573," ",6,"Demokrātu partija",19,"Vidzeme",562
2,"Viktors Koroņevskis",5,37,35,564," ",6,"Demokrātu partija",19,"Vidzeme",562
3,"Andris Mētra",4,34,40,556," ",6,"Demokrātu partija",19,"Vidzeme",562
4,"Ilze Jansone",22,35,41,556," ",6,"Demokrātu partija",19,"Vidzeme",562
5,"Arnis Mētra",10,28,35,555," ",6,"Demokrātu partija",19,"Vidzeme",562
6,"Juris Gustavs",17,28,40,550," ",6,"Demokrātu partija",19,"Vidzeme",562
7,"Visvaris Rieksts",2,30,43,549," ",6,"Demokrātu partija",19,"Vidzeme",562
8,"Jānis Misa",13,21,34,549," ",6,"Demokrātu partija",19,"Vidzeme",562
9,"Edvīns Čulkstēns",3,25,41,546," ",6,"Demokrātu partija",19,"Vidzeme",562
10,"Jānis Brikmanis",18,22,39,545," ",6,"Demokrātu partija",19,"Vidzeme",562
11,"Anita Dimanta",9,23,42,543," ",6,"Demokrātu partija",19,"Vidzeme",562
12,"Normunds Roms",15,15,34,543," ",6,"Demokrātu partija",19,"Vidzeme",562
13,"Oļģerts Krauklis",16,15,36,541," ",6,"Demokrātu partija",19,"Vidzeme",562
14,"Valdis Skujiņš",11,17,39,540," ",6,"Demokrātu partija",19,"Vidzeme",562
15,"Nikolajs Ērglis",19,15,40,537," ",6,"Demokrātu partija",19,"Vidzeme",562
16,"Māris Ošs",14,12,38,536," ",6,"Demokrātu partija",19,"Vidzeme",562
17,"Marģers Martinsons",1,34,61,535," ",6,"Demokrātu partija",19,"Vidzeme",562
