"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Odisejs Kostanda",1,6204,651,27904,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Rīga",23398
2,"Andris Saulītis",2,2399,540,25257,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Rīga",23398
3,"Guntis Eniņš",15,2023,303,25118,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Rīga",23398
4,"Modris Plāte",27,1953,381,24970,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Rīga",23398
5,"Jānis Mauliņš",4,1909,338,24969,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Rīga",23398
6,"Oļģerts Dunkers",12,2115,609,24904,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Rīga",23398
7,"Ojārs Grinbergs",25,2413,915,24896,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Rīga",23398
8,"Janīna Kušnere",3,1480,486,24392,"ievēlēta Zemgales apgabalā",6,"Zīgerista partija",13,"Rīga",23398
9,"Māris Rudzītis",7,1187,297,24288,"ievēlēts",6,"Zīgerista partija",13,"Rīga",23398
10,"Andris Rubins",6,1107,340,24165,"ievēlēts",6,"Zīgerista partija",13,"Rīga",23398
11,"Elmārs Zelgalvis",22,904,311,23991,"ievēlēts",6,"Zīgerista partija",13,"Rīga",23398
12,"Jānis Ozers",8,905,326,23977," ",6,"Zīgerista partija",13,"Rīga",23398
13,"Heinis Lāma",21,924,406,23916," ",6,"Zīgerista partija",13,"Rīga",23398
14,"Egils Bisenieks",11,830,314,23914," ",6,"Zīgerista partija",13,"Rīga",23398
15,"Vilnis Roze",5,852,381,23869," ",6,"Zīgerista partija",13,"Rīga",23398
16,"Lolita Augstkalne",10,870,466,23802," ",6,"Zīgerista partija",13,"Rīga",23398
17,"Mārtiņš Jauģietis",18,693,317,23774," ",6,"Zīgerista partija",13,"Rīga",23398
18,"Atis Mārtiņsons",9,699,330,23767," ",6,"Zīgerista partija",13,"Rīga",23398
19,"Aija Magone",13,912,547,23763," ",6,"Zīgerista partija",13,"Rīga",23398
20,"Aivars Laugalis",26,690,327,23761," ",6,"Zīgerista partija",13,"Rīga",23398
21,"Laimonis Rutmanis",24,659,304,23753," ",6,"Zīgerista partija",13,"Rīga",23398
22,"Tālis Grauds",17,661,307,23752," ",6,"Zīgerista partija",13,"Rīga",23398
23,"Alfreds Circenis",20,655,327,23726," ",6,"Zīgerista partija",13,"Rīga",23398
24,"Anita Sarma",19,750,431,23717," ",6,"Zīgerista partija",13,"Rīga",23398
25,"Ieva Ozoliņa-Ozola",14,750,445,23703," ",6,"Zīgerista partija",13,"Rīga",23398
26,"Ingrīda Sudmale",23,700,471,23627," ",6,"Zīgerista partija",13,"Rīga",23398
27,"Vladimirs Fridmanis",16,646,427,23617," ",6,"Zīgerista partija",13,"Rīga",23398
1,"Odisejs Kostanda",1,10038,824,50569,"ievēlēts",6,"Zīgerista partija",13,"Vidzeme",41355
2,"Ojārs Grinbergs",8,5193,1184,45364,"ievēlēts",6,"Zīgerista partija",13,"Vidzeme",41355
3,"Andris Saulītis",3,3722,621,44456,"ievēlēts",6,"Zīgerista partija",13,"Vidzeme",41355
4,"Oļģerts Dunkers",11,3520,793,44082,"ievēlēts",6,"Zīgerista partija",13,"Vidzeme",41355
5,"Jānis Mauliņš",4,3055,498,43912,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Vidzeme",41355
6,"Janīna Kušnere",2,2789,618,43526,"ievēlēta Zemgales apgabalā",6,"Zīgerista partija",13,"Vidzeme",41355
7,"Guntis Eniņš",23,2644,553,43446,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Vidzeme",41355
8,"Uldis Veldre",10,1928,595,42688," ",6,"Zīgerista partija",13,"Vidzeme",41355
9,"Andrejs Kavacis",25,1917,635,42637," ",6,"Zīgerista partija",13,"Vidzeme",41355
10,"Elmārs Zelgalvis",9,1740,499,42596,"ievēlēts Rīgas apgabalā",6,"Zīgerista partija",13,"Vidzeme",41355
11,"Edmunds Grīnbergs",18,1757,518,42594,"ievēlēts Kurzemes apgabalā",6,"Zīgerista partija",13,"Vidzeme",41355
12,"Jānis Meijers",19,1701,496,42560," ",6,"Zīgerista partija",13,"Vidzeme",41355
13,"Ilmārs Lapa",5,1688,527,42516," ",6,"Zīgerista partija",13,"Vidzeme",41355
14,"Gunta Seisuma",15,1806,664,42497," ",6,"Zīgerista partija",13,"Vidzeme",41355
15,"Egils Ziediņš",22,1672,549,42478," ",6,"Zīgerista partija",13,"Vidzeme",41355
16,"Alda Alberte",7,1651,674,42332," ",6,"Zīgerista partija",13,"Vidzeme",41355
17,"Sandra Kundziņa",14,1554,584,42325," ",6,"Zīgerista partija",13,"Vidzeme",41355
18,"Laimonis Rutmanis",24,1433,517,42271," ",6,"Zīgerista partija",13,"Vidzeme",41355
19,"Lilita Laine",6,1589,685,42259," ",6,"Zīgerista partija",13,"Vidzeme",41355
20,"Rita Dindune",12,1522,628,42249," ",6,"Zīgerista partija",13,"Vidzeme",41355
21,"Anna Kuzina",13,1591,731,42215," ",6,"Zīgerista partija",13,"Vidzeme",41355
22,"Dace Virtmane",16,1446,649,42152," ",6,"Zīgerista partija",13,"Vidzeme",41355
23,"Egils Kupruks",17,1309,546,42118," ",6,"Zīgerista partija",13,"Vidzeme",41355
24,"Monika Plociņa",20,1415,684,42086," ",6,"Zīgerista partija",13,"Vidzeme",41355
25,"Aigars Parms",21,1367,727,41995," ",6,"Zīgerista partija",13,"Vidzeme",41355
1,"Odisejs Kostanda",1,4420,421,23515,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Latgale",19516
2,"Janīna Kušnere",2,2120,530,21106,"ievēlēta Zemgales apgabalā",6,"Zīgerista partija",13,"Latgale",19516
3,"Andris Saulītis",3,2061,475,21102,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Latgale",19516
4,"Ojārs Grinbergs",7,2087,626,20977,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Latgale",19516
5,"Jānis Strods",10,1646,441,20721,"ievēlēts",6,"Zīgerista partija",13,"Latgale",19516
6,"Jānis Mauliņš",4,1446,454,20508,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Latgale",19516
7,"Oļģerts Dunkers",9,1309,541,20284,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Latgale",19516
8,"Kārlis Čerāns",5,1212,483,20245,"ievēlēts",6,"Zīgerista partija",13,"Latgale",19516
9,"Juris Neimanis",17,1152,472,20196," ",6,"Zīgerista partija",13,"Latgale",19516
10,"Rita Dindune",13,1139,531,20124," ",6,"Zīgerista partija",13,"Latgale",19516
11,"Silvija Silkāne",6,1330,737,20109," ",6,"Zīgerista partija",13,"Latgale",19516
12,"Alberts Lonskis",18,1051,509,20058," ",6,"Zīgerista partija",13,"Latgale",19516
13,"Laimonis Rutmanis",15,1020,485,20051," ",6,"Zīgerista partija",13,"Latgale",19516
14,"Andrejs Kavacis",19,1073,579,20010," ",6,"Zīgerista partija",13,"Latgale",19516
15,"Vilis Dābols",12,969,476,20009," ",6,"Zīgerista partija",13,"Latgale",19516
16,"Līga Švorina",8,1021,589,19948," ",6,"Zīgerista partija",13,"Latgale",19516
17,"Ingrīda Sudmale",14,960,541,19935," ",6,"Zīgerista partija",13,"Latgale",19516
18,"Anna Kuzina",11,1007,589,19934," ",6,"Zīgerista partija",13,"Latgale",19516
19,"Alda Alberte",16,919,577,19858," ",6,"Zīgerista partija",13,"Latgale",19516
1,"Odisejs Kostanda",1,6424,475,30507,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
2,"Ojārs Grinbergs",5,3707,722,27543,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
3,"Andris Saulītis",2,3155,384,27329,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
4,"Modris Plāte",14,2701,449,26810,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
5,"Jānis Mauliņš",4,2084,350,26292,"ievēlēts Zemgales apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
6,"Janīna Kušnere",3,1950,432,26076,"ievēlēta Zemgales apgabalā",6,"Zīgerista partija",13,"Kurzeme",24558
7,"Jānis Kazāks",10,1719,411,25866,"ievēlēts",6,"Zīgerista partija",13,"Kurzeme",24558
8,"Edmunds Grīnbergs",7,1503,320,25741,"ievēlēts",6,"Zīgerista partija",13,"Kurzeme",24558
9,"Gunta Gannusa",12,1523,459,25622,"ievēlēta",6,"Zīgerista partija",13,"Kurzeme",24558
10,"Pauls Valcis",8,1404,378,25584," ",6,"Zīgerista partija",13,"Kurzeme",24558
11,"Aivars Beika",11,1368,343,25583," ",6,"Zīgerista partija",13,"Kurzeme",24558
12,"Visvaldis Paeglītis",9,1344,347,25555," ",6,"Zīgerista partija",13,"Kurzeme",24558
13,"Aleksandrs Zoltners",13,1362,379,25541," ",6,"Zīgerista partija",13,"Kurzeme",24558
14,"Imants Gutbergs",6,1295,424,25429," ",6,"Zīgerista partija",13,"Kurzeme",24558
1,"Odisejs Kostanda",1,9972,698,42771,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
2,"Ojārs Grinbergs",13,4938,905,37530,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
3,"Andris Saulītis",3,3716,565,36648,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
4,"Oļģerts Dunkers",11,3484,674,36307,"ievēlēts Vidzemes apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
5,"Modris Plāte",15,3365,684,36178,"ievēlēts",6,"Zīgerista partija",13,"Zemgale",33497
6,"Jānis Mauliņš",4,3090,500,36087,"ievēlēts",6,"Zīgerista partija",13,"Zemgale",33497
7,"Janīna Kušnere",2,3160,656,36001,"ievēlēta",6,"Zīgerista partija",13,"Zemgale",33497
8,"Guntis Eniņš",9,2930,484,35943,"ievēlēts",6,"Zīgerista partija",13,"Zemgale",33497
9,"Māris Rudzītis",14,2658,446,35709,"ievēlēts Rīgas apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
10,"Edmunds Grīnbergs",7,2624,503,35618,"ievēlēts Kurzemes apgabalā",6,"Zīgerista partija",13,"Zemgale",33497
11,"Imants Liepa",5,2462,467,35492,"ievēlēts(30.11.95)",6,"Zīgerista partija",13,"Zemgale",33497
12,"Aldis Hartmanis",10,2332,517,35312," ",6,"Zīgerista partija",13,"Zemgale",33497
13,"Egils Ziediņš",6,2218,489,35226," ",6,"Zīgerista partija",13,"Zemgale",33497
14,"Vilis Dābols",8,2397,874,35020," ",6,"Zīgerista partija",13,"Zemgale",33497
15,"Einārs Binders",12,1878,556,34819," ",6,"Zīgerista partija",13,"Zemgale",33497
