"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Jānis Jurkāns",1,9881,173,32611,"ievēlēts",6,"TSP",6,"Rīga",22903
2,"Vladilens Dozorcevs",2,4117,571,26449,"ievēlēts",6,"TSP",6,"Rīga",22903
3,"Ludmila Kuprijanova",5,2862,439,25326,"ievēlēta",6,"TSP",6,"Rīga",22903
4,"Boriss Cilevičs",8,2689,492,25100," ",6,"TSP",6,"Rīga",22903
5,"Austra Boļševica",7,2287,512,24678," ",6,"TSP",6,"Rīga",22903
6,"Andris Ameriks",3,2189,489,24603,"ievēlēts Vidzemes apgabalā",6,"TSP",6,"Rīga",22903
7,"Igors Bukovskis",6,1981,457,24427," ",6,"TSP",6,"Rīga",22903
8,"Dzidra Ritenberga",22,1982,580,24305," ",6,"TSP",6,"Rīga",22903
9,"Aleksandrs Vasiļjevs",10,1594,419,24078," ",6,"TSP",6,"Rīga",22903
10,"Jakovs Pliners",12,1417,467,23853," ",6,"TSP",6,"Rīga",22903
11,"Sergejs Dolgopolovs",17,1367,431,23839," ",6,"TSP",6,"Rīga",22903
12,"Mavriks Vulfsons",11,2227,1306,23824," ",6,"TSP",6,"Rīga",22903
13,"Aivars Dātavs",4,1308,442,23769," ",6,"TSP",6,"Rīga",22903
14,"Leonids Fedosejevs",23,1193,452,23644," ",6,"TSP",6,"Rīga",22903
15,"Jānis Urbanovičs",27,1181,484,23600,"ievēlēts Latgales apgabalā",6,"TSP",6,"Rīga",22903
16,"Irina Čerevičnika",18,1146,454,23595," ",6,"TSP",6,"Rīga",22903
17,"Iveta Nikolajeva",24,1113,440,23576," ",6,"TSP",6,"Rīga",22903
18,"Andrejs Asafrejs",19,1047,441,23509," ",6,"TSP",6,"Rīga",22903
19,"Valērijs Koķis",16,1033,438,23498," ",6,"TSP",6,"Rīga",22903
20,"Sandra Paura",9,1064,490,23477," ",6,"TSP",6,"Rīga",22903
21,"Silvija Vīksniņa",15,1022,470,23455," ",6,"TSP",6,"Rīga",22903
22,"Lauris Pavlovs",13,1000,450,23453," ",6,"TSP",6,"Rīga",22903
23,"Gundega Drēska",14,927,473,23357," ",6,"TSP",6,"Rīga",22903
24,"Uldis Brakanskis",20,866,438,23331," ",6,"TSP",6,"Rīga",22903
25,"Henrihs Lebedeks",21,895,475,23323," ",6,"TSP",6,"Rīga",22903
26,"Jānis Kivkulis",26,875,470,23308," ",6,"TSP",6,"Rīga",22903
27,"Ruta Rantiņa",25,891,510,23284," ",6,"TSP",6,"Rīga",22903
1,"Jānis Jurkāns",1,2793,106,9234,"ievēlēts Rīgas apgabalā",6,"TSP",6,"Vidzeme",6547
2,"Andris Ameriks",5,716,218,7045,"ievēlēts",6,"TSP",6,"Vidzeme",6547
3,"Austra Boļševica",2,726,243,7030," ",6,"TSP",6,"Vidzeme",6547
4,"Dzidra Ritenberga",3,702,266,6983," ",6,"TSP",6,"Vidzeme",6547
5,"Mavriks Vulfsons",19,774,343,6978," ",6,"TSP",6,"Vidzeme",6547
6,"Ludmila Kuprijanova",25,602,254,6895,"ievēlēta Rīgas apgabalā",6,"TSP",6,"Vidzeme",6547
7,"Igors Bukovskis",11,433,224,6756," ",6,"TSP",6,"Vidzeme",6547
8,"Leonards Stašs",4,385,217,6715,"ievēlēts Latgales apgabalā",6,"TSP",6,"Vidzeme",6547
9,"Jānis Garbovskis",7,327,213,6661," ",6,"TSP",6,"Vidzeme",6547
10,"Jānis Urbanovičs",17,330,224,6653,"ievēlēts Latgales apgabalā",6,"TSP",6,"Vidzeme",6547
11,"Vilnis Strautiņš",10,309,221,6635," ",6,"TSP",6,"Vidzeme",6547
12,"Leonids Fedosejevs",21,323,248,6622," ",6,"TSP",6,"Vidzeme",6547
13,"Iveta Nikolajeva",13,295,244,6598," ",6,"TSP",6,"Vidzeme",6547
14,"Juris Vucāns",12,263,215,6595," ",6,"TSP",6,"Vidzeme",6547
15,"Aivars Dātavs",14,259,221,6585," ",6,"TSP",6,"Vidzeme",6547
16,"Silvija Vīksniņa",9,269,238,6578," ",6,"TSP",6,"Vidzeme",6547
17,"Sandra Paura",8,273,255,6565," ",6,"TSP",6,"Vidzeme",6547
18,"Valērijs Koķis",16,229,234,6542," ",6,"TSP",6,"Vidzeme",6547
19,"Jānis Kivkulis",23,216,227,6536," ",6,"TSP",6,"Vidzeme",6547
20,"Edgars Auziņš",24,204,225,6526," ",6,"TSP",6,"Vidzeme",6547
21,"Uldis Brakanskis",18,204,232,6519," ",6,"TSP",6,"Vidzeme",6547
22,"Gundega Drēska",15,226,257,6516," ",6,"TSP",6,"Vidzeme",6547
23,"Ruta Rantiņa",20,214,246,6515," ",6,"TSP",6,"Vidzeme",6547
24,"Līvija Auziņa",22,220,255,6512," ",6,"TSP",6,"Vidzeme",6547
25,"Henrihs Lebedeks",6,220,257,6510," ",6,"TSP",6,"Vidzeme",6547
1,"Jānis Jurkāns",1,5486,257,23422,"ievēlēts Rīgas apgabalā",6,"TSP",6,"Latgale",18193
2,"Leonards Stašs",6,2198,441,19950,"ievēlēts",6,"TSP",6,"Latgale",18193
3,"Jānis Urbanovičs",2,2185,498,19880,"ievēlēts",6,"TSP",6,"Latgale",18193
4,"Ludmila Kuprijanova",3,1754,488,19459,"ievēlēta Rīgas apgabalā",6,"TSP",6,"Latgale",18193
5,"Vladilens Dozorcevs",19,1672,590,19275,"ievēlēts Rīgas apgabalā",6,"TSP",6,"Latgale",18193
6,"Boriss Cilevičs",9,1489,539,19143," ",6,"TSP",6,"Latgale",18193
7,"Vladimirs Nadeždins",4,1331,548,18976," ",6,"TSP",6,"Latgale",18193
8,"Olga Bistrova",12,1230,532,18891," ",6,"TSP",6,"Latgale",18193
9,"Aleksejs Gončarovs",11,1214,533,18874," ",6,"TSP",6,"Latgale",18193
10,"Vladimirs Isajevs",8,1145,528,18810," ",6,"TSP",6,"Latgale",18193
11,"Aleksandrs Vasiļjevs",10,1129,518,18804," ",6,"TSP",6,"Latgale",18193
12,"Diāna Gavare-Karpova",13,1123,546,18770," ",6,"TSP",6,"Latgale",18193
13,"Aivars Dātavs",5,1093,530,18756," ",6,"TSP",6,"Latgale",18193
14,"Jānis Krivmans",7,1068,619,18642," ",6,"TSP",6,"Latgale",18193
15,"Andrejs Tārauds",18,984,544,18633," ",6,"TSP",6,"Latgale",18193
