"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Edvīns Kide ",15,350,91,1987,"  ",6,"Tautsaimnieks",16,"Rīga",1728
2,"Aloizs Brenčs ",9,290,91,1927,"  ",6,"Tautsaimnieks",16,"Rīga",1728
3,"Jānis Lucāns ",16,257,91,1894,"  ",6,"Tautsaimnieks",16,"Rīga",1728
4,"Aldis Zicmanis ",1,203,87,1844,"  ",6,"Tautsaimnieks",16,"Rīga",1728
5,"Jānis Volkolākovs ",17,154,115,1767,"  ",6,"Tautsaimnieks",16,"Rīga",1728
6,"Dzintra Šešo ",10,116,101,1743,"  ",6,"Tautsaimnieks",16,"Rīga",1728
7,"Māra Kaijaka ",14,99,89,1738,"  ",6,"Tautsaimnieks",16,"Rīga",1728
8,"Aija Freivalde ",13,92,85,1735,"  ",6,"Tautsaimnieks",16,"Rīga",1728
9,"Ojārs Skudra ",11,99,95,1732,"  ",6,"Tautsaimnieks",16,"Rīga",1728
10,"Maija Nora Tabaka ",7,184,185,1727,"  ",6,"Tautsaimnieks",16,"Rīga",1728
11,"Ivars Ross ",2,77,96,1709,"  ",6,"Tautsaimnieks",16,"Rīga",1728
12,"Irēna Folkmane ",27,74,101,1701,"  ",6,"Tautsaimnieks",16,"Rīga",1728
13,"Antons Vjaters ",3,69,98,1699,"  ",6,"Tautsaimnieks",16,"Rīga",1728
14,"Pēteris Guļāns ",12,57,87,1698,"  ",6,"Tautsaimnieks",16,"Rīga",1728
15,"Anita Liberte ",24,46,89,1685,"  ",6,"Tautsaimnieks",16,"Rīga",1728
16,"Ivars Tāle ",4,45,89,1684,"  ",6,"Tautsaimnieks",16,"Rīga",1728
17,"Astrīda Štāla ",22,30,78,1680,"  ",6,"Tautsaimnieks",16,"Rīga",1728
18,"Andris Plezers ",18,32,81,1679,"  ",6,"Tautsaimnieks",16,"Rīga",1728
19,"Jānis Andris Osis ",8,42,93,1677,"  ",6,"Tautsaimnieks",16,"Rīga",1728
20,"Jānis Zviedris ",19,26,79,1675,"  ",6,"Tautsaimnieks",16,"Rīga",1728
