"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Jānis Danoss",1,67,39,488," ",6,"Liberālā partija",1,"Rīga",460
2,"Pēteris Teivāns",10,25,38,447," ",6,"Liberālā partija",1,"Rīga",460
3,"Artūrs Malta",2,28,42,446," ",6,"Liberālā partija",1,"Rīga",460
4,"Edmunds Zālīte",4,19,39,440," ",6,"Liberālā partija",1,"Rīga",460
5,"Tamāra Broka",15,18,38,440," ",6,"Liberālā partija",1,"Rīga",460
6,"Gunārs Svētiņš",8,18,39,439," ",6,"Liberālā partija",1,"Rīga",460
7,"Gunta Madlinska",17,16,38,438," ",6,"Liberālā partija",1,"Rīga",460
8,"Austris Kalnājs",19,13,35,438," ",6,"Liberālā partija",1,"Rīga",460
9,"Jānis Kučinskis",9,18,41,437," ",6,"Liberālā partija",1,"Rīga",460
10,"Jānis Nikolovskis",5,17,41,436," ",6,"Liberālā partija",1,"Rīga",460
11,"Kārlis Klauva",11,14,38,436," ",6,"Liberālā partija",1,"Rīga",460
12,"Pēteris Zaremba",16,14,38,436," ",6,"Liberālā partija",1,"Rīga",460
13,"Arnolds Zvirgzds",18,17,42,435," ",6,"Liberālā partija",1,"Rīga",460
14,"Ingrīda Kursiša",24,12,38,434," ",6,"Liberālā partija",1,"Rīga",460
15,"Uldis Kundrāts",27,11,37,434," ",6,"Liberālā partija",1,"Rīga",460
16,"Kazimirs Civkors",3,14,41,433," ",6,"Liberālā partija",1,"Rīga",460
17,"Juris Semjonovs",13,14,41,433," ",6,"Liberālā partija",1,"Rīga",460
18,"Inese Šāble",6,12,41,431," ",6,"Liberālā partija",1,"Rīga",460
19,"Gunārs Kohs",7,11,41,430," ",6,"Liberālā partija",1,"Rīga",460
20,"Verners Erns",20,9,39,430," ",6,"Liberālā partija",1,"Rīga",460
21,"Vija Garanča",25,10,40,430," ",6,"Liberālā partija",1,"Rīga",460
22,"Jānis Staltmanis",12,10,41,429," ",6,"Liberālā partija",1,"Rīga",460
23,"Taiga Sedvalde",22,9,41,428," ",6,"Liberālā partija",1,"Rīga",460
24,"Almārs Šidlovskis",23,12,45,427," ",6,"Liberālā partija",1,"Rīga",460
25,"Anastasija Jurkiša",14,9,43,426," ",6,"Liberālā partija",1,"Rīga",460
26,"Mārīte Proveja",26,7,41,426," ",6,"Liberālā partija",1,"Rīga",460
27,"Jāzeps Zips",21,8,45,423," ",6,"Liberālā partija",1,"Rīga",460
1,"Jānis Danoss",4,39,37,479," ",6,"Liberālā partija",1,"Vidzeme",477
2,"Aija Buša",15,23,35,465," ",6,"Liberālā partija",1,"Vidzeme",477
3,"Artūrs Malta",3,22,36,463," ",6,"Liberālā partija",1,"Vidzeme",477
4,"Indra Briģe",17,19,38,458," ",6,"Liberālā partija",1,"Vidzeme",477
5,"Inese Šāble",10,16,36,457," ",6,"Liberālā partija",1,"Vidzeme",477
6,"Jānis Kučinskis",6,18,39,456," ",6,"Liberālā partija",1,"Vidzeme",477
7,"Gunārs Kohs",9,13,35,455," ",6,"Liberālā partija",1,"Vidzeme",477
8,"Juris Semjonovs",13,12,34,455," ",6,"Liberālā partija",1,"Vidzeme",477
9,"Anastasija Jurkiša",14,11,33,455," ",6,"Liberālā partija",1,"Vidzeme",477
10,"Zinta Danosa",18,15,37,455," ",6,"Liberālā partija",1,"Vidzeme",477
11,"Ingrīda Kursiša",24,11,35,453," ",6,"Liberālā partija",1,"Vidzeme",477
12,"Edmunds Zālīte",1,16,41,452," ",6,"Liberālā partija",1,"Vidzeme",477
13,"Kazimirs Civkors",5,13,38,452," ",6,"Liberālā partija",1,"Vidzeme",477
14,"Pēteris Teivāns",8,12,38,451," ",6,"Liberālā partija",1,"Vidzeme",477
15,"Kārlis Klauva",11,9,36,450," ",6,"Liberālā partija",1,"Vidzeme",477
16,"Tamāra Broka",19,9,36,450," ",6,"Liberālā partija",1,"Vidzeme",477
17,"Mārīte Proveja",21,7,34,450," ",6,"Liberālā partija",1,"Vidzeme",477
18,"Oskars Veinbergs",23,11,38,450," ",6,"Liberālā partija",1,"Vidzeme",477
19,"Jānis Nikolovskis",2,13,41,449," ",6,"Liberālā partija",1,"Vidzeme",477
20,"Vija Garanča",20,8,37,448," ",6,"Liberālā partija",1,"Vidzeme",477
21,"Jānis Staltmanis",12,6,36,447," ",6,"Liberālā partija",1,"Vidzeme",477
22,"Ineta Lakačauska",16,9,39,447," ",6,"Liberālā partija",1,"Vidzeme",477
23,"Jāzeps Zips",25,7,37,447," ",6,"Liberālā partija",1,"Vidzeme",477
24,"Gunārs Svētiņš",7,6,38,445," ",6,"Liberālā partija",1,"Vidzeme",477
25,"Verners Erns",22,4,38,443," ",6,"Liberālā partija",1,"Vidzeme",477
1,"Artūrs Malta",1,65,80,698," ",6,"Liberālā partija",1,"Latgale",713
2,"Oskars Veinbergs",15,30,82,661," ",6,"Liberālā partija",1,"Latgale",713
3,"Gunārs Svētiņš",9,34,87,660," ",6,"Liberālā partija",1,"Latgale",713
4,"Jānis Kučinskis",10,33,87,659," ",6,"Liberālā partija",1,"Latgale",713
5,"Jānis Danoss",5,31,86,658," ",6,"Liberālā partija",1,"Latgale",713
6,"Pēteris Teivāns",6,34,89,658," ",6,"Liberālā partija",1,"Latgale",713
7,"Juris Semjonovs",13,23,81,655," ",6,"Liberālā partija",1,"Latgale",713
8,"Anastasija Jurkiša",14,19,82,650," ",6,"Liberālā partija",1,"Latgale",713
9,"Tamāra Broka",17,20,84,649," ",6,"Liberālā partija",1,"Latgale",713
10,"Vija Garanča",18,19,83,649," ",6,"Liberālā partija",1,"Latgale",713
11,"Gunta Madlinska",19,18,82,649," ",6,"Liberālā partija",1,"Latgale",713
12,"Kazimirs Civkors",2,27,92,648," ",6,"Liberālā partija",1,"Latgale",713
13,"Edmunds Zālīte",3,24,89,648," ",6,"Liberālā partija",1,"Latgale",713
14,"Zinta Danosa",16,16,83,646," ",6,"Liberālā partija",1,"Latgale",713
15,"Gunārs Kohs",8,21,89,645," ",6,"Liberālā partija",1,"Latgale",713
16,"Kārlis Klauva",11,19,88,644," ",6,"Liberālā partija",1,"Latgale",713
17,"Inese Šāble",7,21,91,643," ",6,"Liberālā partija",1,"Latgale",713
18,"Jānis Staltmanis",12,17,89,641," ",6,"Liberālā partija",1,"Latgale",713
19,"Jānis Nikolovskis",4,21,97,637," ",6,"Liberālā partija",1,"Latgale",713
1,"Jānis Danoss",1,32,22,228," ",6,"Liberālā partija",1,"Kurzeme",218
2,"Artūrs Malta",4,21,20,219," ",6,"Liberālā partija",1,"Kurzeme",218
