"PostNum","Kandidats","PreNum","Plusi","Svitrojumi","Punkti","Rezultats","Saeima","Partija","PartijaNum","Apgabals","Balsis"
1,"Ziedonis Čevers",1,9881,1363,39739,"ievēlēts Vidzemes apgabalā",6,"Saimnieks",9,"Rīga",31221
2,"Dainis Turlais",2,7244,774,37691,"ievēlēts Vidzemes apgabalā",6,"Saimnieks",9,"Rīga",31221
3,"Ivars Jānis Ķezbers",3,5699,1565,35355,"ievēlēts",6,"Saimnieks",9,"Rīga",31221
4,"Aivars Guntis Kreituss",20,5089,1504,34806,"ievēlēts Vidzemes apgabalā",6,"Saimnieks",9,"Rīga",31221
5,"Ilga Kreituse",10,4086,1633,33674,"ievēlēta",6,"Saimnieks",9,"Rīga",31221
6,"Valdis Krisbergs",9,3800,2429,32592,"ievēlēts",6,"Saimnieks",9,"Rīga",31221
7,"Juris Zaķis",23,1859,852,32228,"ievēlēts",6,"Saimnieks",9,"Rīga",31221
8,"Ēriks Kaža",4,2625,1827,32019,"ievēlēts Latgales apgabalā",6,"Saimnieks",9,"Rīga",31221
9,"Olafs Brūvers",5,1707,967,31961,,6,"Saimnieks",9,"Rīga",31221
10,"Viesturs Boka",19,1189,744,31666," ",6,"Saimnieks",9,"Rīga",31221
11,"Jānis Karpovičs",27,1282,916,31587," ",6,"Saimnieks",9,"Rīga",31221
12,"Viktors Dinēvičs",11,1614,1339,31496," ",6,"Saimnieks",9,"Rīga",31221
13,"Romāns Mežeckis",14,1105,845,31481," ",6,"Saimnieks",9,"Rīga",31221
14,"Jānis Bērziņš",12,938,716,31443," ",6,"Saimnieks",9,"Rīga",31221
15,"Vasilijs Meļņiks",6,1510,1351,31380," ",6,"Saimnieks",9,"Rīga",31221
16,"Valdis Nagobads",17,1136,984,31373,"ievēlēts Kurzemes apgabalā",6,"Saimnieks",9,"Rīga",31221
17,"Juris Roberts Kalniņš",8,911,795,31337," ",6,"Saimnieks",9,"Rīga",31221
18,"Antons Ikaunieks",22,816,736,31301," ",6,"Saimnieks",9,"Rīga",31221
19,"Ivars Rudzītis",25,735,719,31237," ",6,"Saimnieks",9,"Rīga",31221
20,"Juris Dzenis",26,676,748,31149," ",6,"Saimnieks",9,"Rīga",31221
21,"Māris Pūķis",13,789,893,31117," ",6,"Saimnieks",9,"Rīga",31221
22,"Juris Rītiņš",16,896,1055,31062," ",6,"Saimnieks",9,"Rīga",31221
23,"Ivars Kalniņš",21,2206,2463,30964," ",6,"Saimnieks",9,"Rīga",31221
24,"Vladislavs Pliska",15,686,953,30954," ",6,"Saimnieks",9,"Rīga",31221
