PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
1,2,Andris,Vilks,Male,11,1,Vienotība,1,Rīga,49479,12301,1689,60091,ievēlēts
2,7,"Ojārs Ēriks",Kalniņš,Male,11,1,Vienotība,1,Rīga,49479,8252,2104,55627,ievēlēts
3,4,Andrejs,Judins,Male,11,1,Vienotība,1,Rīga,49479,6895,1807,54567,ievēlēts
4,11,Ilze,Viņķele,Female,11,1,Vienotība,1,Rīga,49479,7401,2731,54149,ievēlēts
5,6,Andris,Buiķis,Male,11,1,Vienotība,1,Rīga,49479,6778,2685,53572,ievēlēts
6,9,Inguna,Rībena,Female,11,1,Vienotība,1,Rīga,49479,7324,3682,53121,ievēlēts
7,3,Lolita,Čigāne,Female,11,1,Vienotība,1,Rīga,49479,7934,4774,52639,""
8,8,Rasma,Kārkliņa,Female,11,1,Vienotība,1,Rīga,49479,4953,2004,52428,""
9,33,Veiko,Spolītis,Male,11,1,Vienotība,1,Rīga,49479,2390,2088,49781,""
10,10,Uģis,Rotbergs,Male,11,1,Vienotība,1,Rīga,49479,2230,2206,49503,""
11,16,"Hosams Abu",Meri,Male,11,1,Vienotība,1,Rīga,49479,4840,5044,49275,""
12,15,Kārlis,Strēlis,Male,11,1,Vienotība,1,Rīga,49479,2311,2576,49214,""
13,13,Inese,Kalniņa,Female,11,1,Vienotība,1,Rīga,49479,1754,2026,49207,""
14,22,"Jānis Mārtiņš",Zandbergs,Male,11,1,Vienotība,1,Rīga,49479,1778,2082,49175,""
15,25,Ervins,Labanovskis,Male,11,1,Vienotība,1,Rīga,49479,1828,2233,49074,""
16,24,Mārcis,Gobiņš,Male,11,1,Vienotība,1,Rīga,49479,1563,2008,49034,""
17,5,"Mārtiņš Reinis",Sausiņš,Male,11,1,Vienotība,1,Rīga,49479,2258,2704,49033,""
18,20,Kārlis,Līdaks,Male,11,1,Vienotība,1,Rīga,49479,1713,2187,49005,""
19,21,Jānis,Bērziņš,Male,11,1,Vienotība,1,Rīga,49479,1528,2049,48958,""
20,12,Sarmīte,Veide,Female,11,1,Vienotība,1,Rīga,49479,2038,2683,48834,""
21,31,Juris,Plēsums,Male,11,1,Vienotība,1,Rīga,49479,1431,2143,48767,""
22,18,Dace,Balode,Female,11,1,Vienotība,1,Rīga,49479,1394,2150,48723,""
23,14,Sanita,Stelpe,Female,11,1,Vienotība,1,Rīga,49479,1190,2185,48484,""
24,26,Ieva,Margeviča,Female,11,1,Vienotība,1,Rīga,49479,1090,2185,48384,""
25,29,Uldis,Plūmīte,Male,11,1,Vienotība,1,Rīga,49479,1058,2153,48384,""
26,30,Edgars,Engīzers,Male,11,1,Vienotība,1,Rīga,49479,1176,2301,48354,""
27,28,Ivars,Bandonis,Male,11,1,Vienotība,1,Rīga,49479,1063,2222,48320,""
28,23,Uvis,Toms,Male,11,1,Vienotība,1,Rīga,49479,985,2163,48301,""
29,19,Inese,Muhka,Female,11,1,Vienotība,1,Rīga,49479,1254,2449,48284,""
30,32,Valdis,Šakars,Male,11,1,Vienotība,1,Rīga,49479,1039,2237,48281,""
31,17,Uģis,Resnis,Male,11,1,Vienotība,1,Rīga,49479,1128,2559,48048,""
32,27,Kristīne,Jučkoviča,Female,11,1,Vienotība,1,Rīga,49479,920,2405,47994,""
33,1,"Ģirts Valdis",Kristovskis,Male,11,1,Vienotība,1,Rīga,49479,8592,14531,43540,""
1,1,Valdis,Dombrovskis,Male,11,1,Vienotība,2,Vidzeme,63116,45228,763,107581,ievēlēts
2,2,Artis,Pabriks,Male,11,1,Vienotība,2,Vidzeme,63116,19376,4493,77999,ievēlēts
3,3,Ilma,Čepāne,Female,11,1,Vienotība,2,Vidzeme,63116,17617,3518,77215,ievēlēts
4,4,Ainars,Latkovskis,Male,11,1,Vienotība,2,Vidzeme,63116,9799,3290,69625,ievēlēts
5,5,Ina,Druviete,Female,11,1,Vienotība,2,Vidzeme,63116,10301,5933,67484,ievēlēts
6,6,Dzintars,Ābiķis,Male,11,1,Vienotība,2,Vidzeme,63116,7453,6835,63734,ievēlēts
7,7,Edvards,Smiltēns,Male,11,1,Vienotība,2,Vidzeme,63116,4279,3667,63728,ievēlēts
8,9,Ingmārs,Čaklais,Male,11,1,Vienotība,2,Vidzeme,63116,4644,5461,62299,""
9,8,Arvils,Ašeradens,Male,11,1,Vienotība,2,Vidzeme,63116,3362,4842,61636,""
10,12,Andis,Caunītis,Male,11,1,Vienotība,2,Vidzeme,63116,2057,3596,61577,""
11,11,Liene,Liepiņa,Female,11,1,Vienotība,2,Vidzeme,63116,2766,4332,61550,""
12,10,Ilze,Vergina,Female,11,1,Vienotība,2,Vidzeme,63116,2436,4082,61470,""
13,15,Astrīda,Harju,Female,11,1,Vienotība,2,Vidzeme,63116,2216,4073,61259,""
14,13,Ainārs,Šteins,Male,11,1,Vienotība,2,Vidzeme,63116,2023,3910,61229,""
15,23,Viesturs,Zariņš,Male,11,1,Vienotība,2,Vidzeme,63116,1414,3546,60984,""
16,18,Pēteris,Ontužāns,Male,11,1,Vienotība,2,Vidzeme,63116,1777,4080,60813,""
17,20,Jānis,Siliņš,Male,11,1,Vienotība,2,Vidzeme,63116,1605,4012,60709,""
18,16,Mārtiņš,Bojārs,Male,11,1,Vienotība,2,Vidzeme,63116,1849,4261,60704,""
19,17,Aivars,Veiss,Male,11,1,Vienotība,2,Vidzeme,63116,1290,3731,60675,""
20,14,Juris,Žūriņš,Male,11,1,Vienotība,2,Vidzeme,63116,1833,4292,60657,""
21,27,Andris,Grafs,Male,11,1,Vienotība,2,Vidzeme,63116,1337,3831,60622,""
22,29,Juris,Jerums,Male,11,1,Vienotība,2,Vidzeme,63116,1265,3831,60550,""
23,19,Ilgonis,Leišavnieks,Male,11,1,Vienotība,2,Vidzeme,63116,1394,3985,60525,""
24,25,Normunds,Orleāns,Male,11,1,Vienotība,2,Vidzeme,63116,1406,4022,60500,""
25,22,Gints,Sūna,Male,11,1,Vienotība,2,Vidzeme,63116,1152,3774,60494,""
26,24,Ivo,Skudiķis,Male,11,1,Vienotība,2,Vidzeme,63116,924,4040,60000,""
27,28,Igors,Aleksandrovs,Male,11,1,Vienotība,2,Vidzeme,63116,1485,5535,59066,""
28,21,Marika,Gladkija,Female,11,1,Vienotība,2,Vidzeme,63116,952,5038,59030,""
29,26,Harijs,Ozols,Male,11,1,Vienotība,2,Vidzeme,63116,2602,6937,58781,""
30,30,Modris,Jaunups,Male,11,1,Vienotība,2,Vidzeme,63116,2209,8209,57116,""
1,2,Aleksejs,Loskutovs,Male,11,1,Vienotība,3,Latgale,11608,4497,710,15395,ievēlēts
2,1,Jānis,Lāčplēsis,Male,11,1,Vienotība,3,Latgale,11608,3557,849,14316,ievēlēts
3,3,Sarmīte,Ķikuste,Female,11,1,Vienotība,3,Latgale,11608,2473,971,13110,""
4,4,Līvija,Plavinska,Female,11,1,Vienotība,3,Latgale,11608,1484,906,12186,""
5,18,Aivars,Broks,Male,11,1,Vienotība,3,Latgale,11608,1146,1014,11740,""
6,10,Gundega,Rancāne,Female,11,1,Vienotība,3,Latgale,11608,1159,1028,11739,""
7,5,Aldis,Cimoška,Male,11,1,Vienotība,3,Latgale,11608,1161,1155,11614,""
8,7,Maija,Spūle,Female,11,1,Vienotība,3,Latgale,11608,933,1084,11457,""
9,14,Valfrīds,Paškevičs,Male,11,1,Vienotība,3,Latgale,11608,646,1090,11164,""
10,17,Maija,Upeniece,Female,11,1,Vienotība,3,Latgale,11608,607,1108,11107,""
11,13,Jānis,Lazdāns,Male,11,1,Vienotība,3,Latgale,11608,534,1037,11105,""
12,11,Aivars,Bāliņš,Male,11,1,Vienotība,3,Latgale,11608,445,1052,11001,""
13,16,Aivars,Skrebinskis,Male,11,1,Vienotība,3,Latgale,11608,424,1109,10923,""
14,15,Māris,Jaunašāns,Male,11,1,Vienotība,3,Latgale,11608,384,1077,10915,""
15,12,Krišjānis,Liepiņš,Male,11,1,Vienotība,3,Latgale,11608,405,1107,10906,""
16,8,Andris,Gauks,Male,11,1,Vienotība,3,Latgale,11608,397,1172,10833,""
17,6,Harijs,Petrockis-Petrovskis,Male,11,1,Vienotība,3,Latgale,11608,461,1286,10783,""
18,9,Vjačeslavs,Novikovs,Male,11,1,Vienotība,3,Latgale,11608,450,1321,10737,""
1,1,Solvita,Āboltiņa,Female,11,1,Vienotība,4,Kurzeme,21770,6489,3199,25060,ievēlēts
2,3,Janīna,Kursīte-Pakule,Female,11,1,Vienotība,4,Kurzeme,21770,3848,1371,24247,ievēlēts
3,4,Ingrīda,Circene,Female,11,1,Vienotība,4,Kurzeme,21770,4086,2440,23416,""
4,2,Ints,Dālderis,Male,11,1,Vienotība,4,Kurzeme,21770,2730,1516,22984,""
5,5,Anna,Seile,Female,11,1,Vienotība,4,Kurzeme,21770,3113,2699,22184,""
6,7,Didzis,Konuševskis,Male,11,1,Vienotība,4,Kurzeme,21770,1708,1331,22147,""
7,8,Ansis,Dobelis,Male,11,1,Vienotība,4,Kurzeme,21770,1437,1161,22046,""
8,16,Karīna,Korna,Female,11,1,Vienotība,4,Kurzeme,21770,1259,1167,21862,""
9,14,Māris,Mežeckis,Male,11,1,Vienotība,4,Kurzeme,21770,1014,1138,21646,""
10,9,Kristīne,Laure,Female,11,1,Vienotība,4,Kurzeme,21770,1009,1171,21608,""
11,12,Andris,Dedzis,Male,11,1,Vienotība,4,Kurzeme,21770,1067,1379,21458,""
12,15,Laura,Treimane,Female,11,1,Vienotība,4,Kurzeme,21770,810,1145,21435,""
13,11,Edgars,Krūmiņš,Male,11,1,Vienotība,4,Kurzeme,21770,997,1335,21432,""
14,10,Ingmārs,Kuklis,Male,11,1,Vienotība,4,Kurzeme,21770,726,1195,21301,""
15,13,Ivars,Ķervis,Male,11,1,Vienotība,4,Kurzeme,21770,1334,1890,21214,""
16,6,Silva,Bendrāte,Female,11,1,Vienotība,4,Kurzeme,21770,1243,3254,19759,""
1,3,Atis,Lejiņš,Male,11,1,Vienotība,5,Zemgale,26590,5281,1399,30472,ievēlēts
2,4,Dzintars,Zaķis,Male,11,1,Vienotība,5,Zemgale,26590,4587,1883,29294,ievēlēts
3,5,Jānis,Reirs,Male,11,1,Vienotība,5,Zemgale,26590,2423,1544,27469,ievēlēts
4,2,Sarmīte,Ēlerte,Female,11,1,Vienotība,5,Zemgale,26590,5054,4640,27004,""
5,6,Aivars,Volfs,Male,11,1,Vienotība,5,Zemgale,26590,1824,1453,26961,""
6,8,Madars,Lasmanis,Male,11,1,Vienotība,5,Zemgale,26590,1785,1584,26791,""
7,13,Jānis,Avotiņš,Male,11,1,Vienotība,5,Zemgale,26590,1315,1225,26680,""
8,9,Dace,Lebeda,Female,11,1,Vienotība,5,Zemgale,26590,1635,1637,26588,""
9,10,Inga,Priede,Female,11,1,Vienotība,5,Zemgale,26590,1243,1448,26385,""
10,7,Ansis,Saliņš,Male,11,1,Vienotība,5,Zemgale,26590,1099,1328,26361,""
11,11,Krišjānis,Bušs,Male,11,1,Vienotība,5,Zemgale,26590,980,1339,26231,""
12,17,Gatis,Puriņš,Male,11,1,Vienotība,5,Zemgale,26590,879,1336,26133,""
13,15,Linards,Počs,Male,11,1,Vienotība,5,Zemgale,26590,935,1443,26082,""
14,18,Andis,Geižāns,Male,11,1,Vienotība,5,Zemgale,26590,937,1466,26061,""
15,16,Mārtiņš,Ķeņģis,Male,11,1,Vienotība,5,Zemgale,26590,772,1424,25938,""
16,12,Viktors,Vilkaušs,Male,11,1,Vienotība,5,Zemgale,26590,860,1520,25930,""
17,14,Jānis,Derkusovs,Male,11,1,Vienotība,5,Zemgale,26590,778,1496,25872,""
18,1,Aigars,Štokenbergs,Male,11,1,Vienotība,5,Zemgale,26590,4572,6212,24950,""
1,6,Velta,Cimdiņa,Female,11,2,LSDSP,1,Rīga,673,87,38,722,N/A
2,1,Aivars,Timofejevs,Male,11,2,LSDSP,1,Rīga,673,74,42,705,N/A
3,2,Diāna,Jakubovska,Female,11,2,LSDSP,1,Rīga,673,71,44,700,N/A
4,13,Gunārs,Eniņš,Male,11,2,LSDSP,1,Rīga,673,52,31,694,N/A
5,12,Jānis,Stradiņš,Male,11,2,LSDSP,1,Rīga,673,58,38,693,N/A
6,5,Jānis,Ozers,Male,11,2,LSDSP,1,Rīga,673,53,39,687,N/A
7,4,Dagnis,Reinsons,Male,11,2,LSDSP,1,Rīga,673,46,42,677,N/A
8,3,Margarita,Krauča,Female,11,2,LSDSP,1,Rīga,673,48,47,674,N/A
9,7,Zigurds,Bērziņš,Male,11,2,LSDSP,1,Rīga,673,38,43,668,N/A
10,10,Inta,Beikmane,Female,11,2,LSDSP,1,Rīga,673,32,38,667,N/A
11,20,Zanda,Bautre,Female,11,2,LSDSP,1,Rīga,673,32,40,665,N/A
12,14,Dagmāra,Enkuzena,Female,11,2,LSDSP,1,Rīga,673,32,41,664,N/A
13,18,Inita,Leimane,Female,11,2,LSDSP,1,Rīga,673,33,43,663,N/A
14,8,Simona,Kalniņa,Female,11,2,LSDSP,1,Rīga,673,33,44,662,N/A
15,17,Vilnis,Krasovskis,Male,11,2,LSDSP,1,Rīga,673,30,45,658,N/A
16,16,Pēteris,Ladnijs,Male,11,2,LSDSP,1,Rīga,673,22,40,655,N/A
17,11,Zigrīda,Orehova,Female,11,2,LSDSP,1,Rīga,673,24,45,652,N/A
18,9,Māra,Sadovska,Female,11,2,LSDSP,1,Rīga,673,24,48,649,N/A
19,19,Lidija,Hmeļevska,Female,11,2,LSDSP,1,Rīga,673,27,53,647,N/A
20,15,Jeļena,Delegāne,Female,11,2,LSDSP,1,Rīga,673,22,52,643,N/A
1,2,Ilga,Ozoliņa,Female,11,2,LSDSP,2,Vidzeme,649,117,46,720,N/A
2,1,Māris,Pļaviņš,Male,11,2,LSDSP,2,Vidzeme,649,118,57,710,N/A
3,9,Guntis,Pužulis,Male,11,2,LSDSP,2,Vidzeme,649,58,54,653,N/A
4,3,Aigars,Krīgalis,Male,11,2,LSDSP,2,Vidzeme,649,69,66,652,N/A
5,6,Skaidra,Kalniņa,Female,11,2,LSDSP,2,Vidzeme,649,64,61,652,N/A
6,8,Ilze,Sniega-Sniedziņa,Female,11,2,LSDSP,2,Vidzeme,649,61,60,650,N/A
7,10,Edgars,Mednis,Male,11,2,LSDSP,2,Vidzeme,649,56,60,645,N/A
8,5,Ivans,Pavlovskis,Male,11,2,LSDSP,2,Vidzeme,649,56,63,642,N/A
9,4,Aigars,Orups,Male,11,2,LSDSP,2,Vidzeme,649,48,62,635,N/A
10,7,Jānis,Šmeiss,Male,11,2,LSDSP,2,Vidzeme,649,48,66,631,N/A
