PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
1,1,Irēna,Saprovska,Female,9,1,"Māras zeme",1,Rīga,1133,490,55,1568,""
1,1,Irēna,Saprovska,Female,9,1,"Māras zeme",2,Vidzeme,1348,566,68,1846,""
1,1,Irēna,Saprovska,Female,9,1,"Māras zeme",3,Latgale,777,281,35,1023,""
1,1,Irēna,Saprovska,Female,9,1,"Māras zeme",4,Kurzeme,421,152,33,540,""
1,1,Irēna,Saprovska,Female,9,1,"Māras zeme",5,Zemgale,721,315,38,998,""
1,1,Nils,Ušakovs,Male,9,2,SC,1,Rīga,64971,25165,728,89408,ievēlēts
2,2,Sergejs,Dolgopolovs,Male,9,2,SC,1,Rīga,64971,15899,1213,79657,ievēlēts
3,16,Aleksandrs,Mirskis,Male,9,2,SC,1,Rīga,64971,12866,1328,76509,ievēlēts
4,3,Artūrs,Rubiks,Male,9,2,SC,1,Rīga,64971,11218,1556,74633,ievēlēts
5,4,Jānis,Urbanovičs,Male,9,2,SC,1,Rīga,64971,10108,783,74296,ievēlēts
6,5,Andrejs,Klementjevs,Male,9,2,SC,1,Rīga,64971,8921,696,73196,ievēlēts
7,8,Boriss,Cilevičs,Male,9,2,SC,1,Rīga,64971,8701,835,72837,ievēlēts
8,30,Sergejs,Mirskis,Male,9,2,SC,1,Rīga,64971,5740,1000,69711,ievēlēts
9,24,Ivans,Klementjevs,Male,9,2,SC,1,Rīga,64971,4827,675,69123,"ievēlēts Vidzemes apgabalā"
10,17,Igors,Pimenovs,Male,9,2,SC,1,Rīga,64971,4667,797,68841,""
11,13,Mihails,Zemļinskis,Male,9,2,SC,1,Rīga,64971,4451,795,68627,""
12,10,Aleksejs,Vidavskis,Male,9,2,SC,1,Rīga,64971,4239,818,68392,"ievēlēts Latgales apgabalā"
13,29,Aleksejs,Holostovs,Male,9,2,SC,1,Rīga,64971,3959,867,68063,""
14,31,Igors,Zujevs,Male,9,2,SC,1,Rīga,64971,3706,744,67933,""
15,14,Leonids,Fedosejevs,Male,9,2,SC,1,Rīga,64971,3616,713,67874,""
16,23,Vitālijs,Orlovs,Male,9,2,SC,1,Rīga,64971,3602,716,67857,"ievēlēts Zemgales apgabalā"
17,32,Leonīds,Kurdjumovs,Male,9,2,SC,1,Rīga,64971,3746,892,67825,""
18,12,Viktors,Gluhovs,Male,9,2,SC,1,Rīga,64971,3452,687,67736,""
19,11,Igors,Solovjovs,Male,9,2,SC,1,Rīga,64971,3453,746,67678,""
20,20,Valērijs,Agešins,Male,9,2,SC,1,Rīga,64971,2980,710,67241,"ievēlēts Kurzemes apgabalā"
21,15,Nikolajs,Zaharovs,Male,9,2,SC,1,Rīga,64971,2998,789,67180,""
22,28,Vladimirs,Frolovs,Male,9,2,SC,1,Rīga,64971,2870,704,67137,""
23,19,Sergejs,Hristoļubovs,Male,9,2,SC,1,Rīga,64971,2953,792,67132,""
24,6,Anita,Jākobsone,Female,9,2,SC,1,Rīga,64971,3030,895,67106,""
25,7,Anatolijs,Pešehonovs,Male,9,2,SC,1,Rīga,64971,2945,814,67102,""
26,9,Aivars,Bergers,Male,9,2,SC,1,Rīga,64971,2991,872,67090,""
27,18,Viktors,Fedotovs,Male,9,2,SC,1,Rīga,64971,2681,717,66935,""
28,26,Oļegs,Ščipcovs,Male,9,2,SC,1,Rīga,64971,2690,761,66900,""
29,22,Vera,Pondina,Female,9,2,SC,1,Rīga,64971,2636,772,66835,""
30,25,Anatolijs,Zolotovskovs,Male,9,2,SC,1,Rīga,64971,2487,715,66743,""
31,27,Oļegs,Mihaļevičs,Male,9,2,SC,1,Rīga,64971,2437,717,66691,""
32,21,Edmunds,Karaļuns,Male,9,2,SC,1,Rīga,64971,2339,824,66486,""
1,1,Sergejs,Dolgopolovs,Male,9,2,SC,2,Vidzeme,15762,4783,360,20185,"ievēlēts Rīgas apgabalā"
2,3,Jānis,Urbanovičs,Male,9,2,SC,2,Vidzeme,15762,3061,329,18494,"ievēlēts Rīgas apgabalā"
3,2,Artūrs,Rubiks,Male,9,2,SC,2,Vidzeme,15762,2968,494,18236,"ievēlēts Rīgas apgabalā"
4,11,Andrejs,Klementjevs,Male,9,2,SC,2,Vidzeme,15762,2154,297,17619,"ievēlēts Rīgas apgabalā"
5,16,Boriss,Cilevičs,Male,9,2,SC,2,Vidzeme,15762,1869,328,17303,"ievēlēts Rīgas apgabalā"
6,17,Ivans,Klementjevs,Male,9,2,SC,2,Vidzeme,15762,1448,296,16914,ievēlēts
7,7,Oļegs,Deņisovs,Male,9,2,SC,2,Vidzeme,15762,1444,355,16851,ievēlēts
8,29,Igors,Pimenovs,Male,9,2,SC,2,Vidzeme,15762,1238,312,16688,""
9,9,Vitālijs,Orlovs,Male,9,2,SC,2,Vidzeme,15762,1241,328,16675,"ievēlēts Zemgales apgabalā"
10,5,Nikolajs,Zaharovs,Male,9,2,SC,2,Vidzeme,15762,1182,332,16612,""
11,12,Vladimirs,Barinovs,Male,9,2,SC,2,Vidzeme,15762,1156,376,16542,""
12,4,Guntars,Valants,Male,9,2,SC,2,Vidzeme,15762,1093,391,16464,""
13,28,Igors,Solovjovs,Male,9,2,SC,2,Vidzeme,15762,996,302,16456,""
14,21,Mihails,Rogals,Male,9,2,SC,2,Vidzeme,15762,1068,384,16446,""
15,10,Juris,Silovs,Male,9,2,SC,2,Vidzeme,15762,987,329,16420,""
16,15,Anatolijs,Bobrovs,Male,9,2,SC,2,Vidzeme,15762,933,311,16384,""
17,18,Aleksandrs,Sakovskis,Male,9,2,SC,2,Vidzeme,15762,869,301,16330,""
18,13,Aigars,Līdaks,Male,9,2,SC,2,Vidzeme,15762,898,358,16302,""
19,22,Olga,Veidiņa,Female,9,2,SC,2,Vidzeme,15762,886,351,16297,""
20,14,Aleksandrs,Beknazarovs,Male,9,2,SC,2,Vidzeme,15762,837,335,16264,""
21,25,Svetlana,Zeiliša,Female,9,2,SC,2,Vidzeme,15762,841,341,16262,""
22,19,Voldemārs,Īvulis,Male,9,2,SC,2,Vidzeme,15762,796,301,16257,""
23,6,Nadežda,Krūze,Female,9,2,SC,2,Vidzeme,15762,881,395,16248,""
24,23,Valerijs,Strigins,Male,9,2,SC,2,Vidzeme,15762,798,328,16232,""
25,27,Jānis,Lapinskis,Male,9,2,SC,2,Vidzeme,15762,790,340,16212,""
26,8,Aivars,Bergers,Male,9,2,SC,2,Vidzeme,15762,790,373,16179,""
27,26,Arnis,Začs,Male,9,2,SC,2,Vidzeme,15762,728,388,16102,""
28,24,Edmunds,Karaļuns,Male,9,2,SC,2,Vidzeme,15762,694,359,16097,""
29,20,Renārs,Špade,Male,9,2,SC,2,Vidzeme,15762,689,389,16062,""
1,16,Aleksandrs,Mirskis,Male,9,2,SC,3,Latgale,36859,12136,837,48158,"ievēlēts Rīgas apgabalā"
2,1,Jānis,Urbanovičs,Male,9,2,SC,3,Latgale,36859,9099,866,45092,"ievēlēts Rīgas apgabalā"
3,5,Ivans,Ribakovs,Male,9,2,SC,3,Latgale,36859,7571,853,43577,ievēlēts
4,17,Jānis,Tutins,Male,9,2,SC,3,Latgale,36859,5954,869,41944,ievēlēts
5,2,Aleksejs,Vidavskis,Male,9,2,SC,3,Latgale,36859,6754,2363,41250,ievēlēts
6,9,Boriss,Cilevičs,Male,9,2,SC,3,Latgale,36859,4349,1073,40135,"ievēlēts Rīgas apgabalā"
7,3,Aleksandrs,Golubovs,Male,9,2,SC,3,Latgale,36859,3999,1104,39754,ievēlēts
8,13,Sergejs,Fjodorovs,Male,9,2,SC,3,Latgale,36859,3271,1005,39125,ievēlēts
9,6,Martijans,Bekasovs,Male,9,2,SC,3,Latgale,36859,3238,1201,38896,""
10,19,Oļegs,Hļebņikovs,Male,9,2,SC,3,Latgale,36859,2721,884,38696,""
11,18,Fridijs,Bokišs,Male,9,2,SC,3,Latgale,36859,2765,1083,38541,""
12,15,Dagmāra,Abramova,Female,9,2,SC,3,Latgale,36859,2694,1165,38388,""
13,10,Ļubova,Sparāne,Female,9,2,SC,3,Latgale,36859,2686,1277,38268,""
14,4,Arnolds,Lavrinovičs,Male,9,2,SC,3,Latgale,36859,2538,1132,38265,""
15,7,Anita,Jākobsone,Female,9,2,SC,3,Latgale,36859,2476,1167,38168,""
16,11,Aleksandrs,Barbakadze,Male,9,2,SC,3,Latgale,36859,2984,1752,38091,""
17,8,Aivars,Birulis,Male,9,2,SC,3,Latgale,36859,2399,1269,37989,""
18,12,Leonards,Sprukts,Male,9,2,SC,3,Latgale,36859,2144,1159,37844,""
19,14,Biruta,Višņevska,Female,9,2,SC,3,Latgale,36859,2099,1170,37788,""
1,1,Valērijs,Agešins,Male,9,2,SC,4,Kurzeme,6386,2299,143,8542,ievēlēts
2,3,Artūrs,Rubiks,Male,9,2,SC,4,Kurzeme,6386,1364,234,7516,"ievēlēts Rīgas apgabalā"
3,4,Elita,Kosaka,Female,9,2,SC,4,Kurzeme,6386,1195,193,7388,""
4,12,Jānis,Urbanovičs,Male,9,2,SC,4,Kurzeme,6386,1053,141,7298,"ievēlēts Rīgas apgabalā"
5,8,Boriss,Cilevičs,Male,9,2,SC,4,Kurzeme,6386,1001,171,7216,"ievēlēts Rīgas apgabalā"
6,5,Aleksandrs,Mirvis,Male,9,2,SC,4,Kurzeme,6386,838,198,7026,""
7,2,Aivars,Bergers,Male,9,2,SC,4,Kurzeme,6386,722,166,6942,""
8,13,Jeļena,Garbuzova,Female,9,2,SC,4,Kurzeme,6386,645,182,6849,""
