PostNum,PreNum,CandidateName,CandidateSurname,Sex,Saeima,PartyNum,PartyAbbr,DistrNum,DistrName,BallotsForParty,Pluses,Minuses,Points,Result
1,1,Guntars,Krasts,Male,8,1,TB/LNNK,1,Rīga,16423,8219,314,24328,ievēlēts
2,4,Roberts,Zīle,Male,8,1,TB/LNNK,1,Rīga,16423,4899,379,20943,ievēlēts
3,3,Ģirts-Valdis,Kristovskis,Male,8,1,TB/LNNK,1,Rīga,16423,5044,551,20916,"ievēlēts Vidzemes apgabalā"
4,2,Māris,Grīnblats,Male,8,1,TB/LNNK,1,Rīga,16423,4383,918,19888,"ievēlēts Kurzemes apgabalā"
5,28,Jānis,Straume,Male,8,1,TB/LNNK,1,Rīga,16423,3797,677,19543,"ievēlēts Vidzemes apgabalā"
6,5,Inese,Vaidere,Female,8,1,TB/LNNK,1,Rīga,16423,2994,877,18540,""
7,26,Juris,Dobelis,Male,8,1,TB/LNNK,1,Rīga,16423,3252,1572,18103,""
8,8,Dzintars,Rasnačs,Male,8,1,TB/LNNK,1,Rīga,16423,2274,759,17938,""
9,11,Dainis,Stalts,Male,8,1,TB/LNNK,1,Rīga,16423,2028,794,17657,""
10,6,Aida,Prēdele,Female,8,1,TB/LNNK,1,Rīga,16423,1813,937,17299,""
11,17,Vilnis,Zariņš,Male,8,1,TB/LNNK,1,Rīga,16423,1437,627,17233,""
12,27,Vladimirs,Makarovs,Male,8,1,TB/LNNK,1,Rīga,16423,2235,1452,17206,""
13,9,Einārs,Cilinskis,Male,8,1,TB/LNNK,1,Rīga,16423,885,871,16437,""
14,22,Āris,Roze,Male,8,1,TB/LNNK,1,Rīga,16423,577,678,16322,""
15,12,Aigars,Ķimenis,Male,8,1,TB/LNNK,1,Rīga,16423,648,775,16296,""
16,14,Oļegs,Batarevskis,Male,8,1,TB/LNNK,1,Rīga,16423,745,904,16264,""
17,15,Ralfs,Birķis,Male,8,1,TB/LNNK,1,Rīga,16423,451,691,16183,""
18,19,Gita,Grīnberga,Female,8,1,TB/LNNK,1,Rīga,16423,455,716,16162,""
19,20,Gunārs,Ivdra,Male,8,1,TB/LNNK,1,Rīga,16423,487,754,16156,""
20,13,Normunds,Pēterkops,Male,8,1,TB/LNNK,1,Rīga,16423,639,923,16139,""
21,16,Imants,Griķis,Male,8,1,TB/LNNK,1,Rīga,16423,420,710,16133,""
22,10,Laura,Gulbe,Female,8,1,TB/LNNK,1,Rīga,16423,465,762,16126,""
23,23,Jānis,Tomels,Male,8,1,TB/LNNK,1,Rīga,16423,400,697,16126,""
24,25,Aija,Fleija,Female,8,1,TB/LNNK,1,Rīga,16423,458,782,16099,""
25,21,Baiba,Jansone,Female,8,1,TB/LNNK,1,Rīga,16423,404,732,16095,""
26,18,Imārs,Kiršbaums,Male,8,1,TB/LNNK,1,Rīga,16423,381,743,16061,""
27,7,Ivars,Puksts,Male,8,1,TB/LNNK,1,Rīga,16423,376,779,16020,""
