"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"58",6,6,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",3,"Latgale",713,34,89,658," "
"59",7,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",3,"Latgale",713,23,81,655," "
"60",8,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",3,"Latgale",713,19,82,650," "
"61",9,17,"Tamāra","Broka","Female",6,1,"Liberālā partija",3,"Latgale",713,20,84,649," "
"62",10,18,"Vija","Garanča","Female",6,1,"Liberālā partija",3,"Latgale",713,19,83,649," "
"63",11,19,"Gunta","Madlinska","Female",6,1,"Liberālā partija",3,"Latgale",713,18,82,649," "
"64",12,2,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",3,"Latgale",713,27,92,648," "
"65",13,3,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",3,"Latgale",713,24,89,648," "
"66",14,16,"Zinta","Danosa","Female",6,1,"Liberālā partija",3,"Latgale",713,16,83,646," "
"67",15,8,"Gunārs","Kohs","Male",6,1,"Liberālā partija",3,"Latgale",713,21,89,645," "
"68",16,11,"Kārlis","Klauva","Male",6,1,"Liberālā partija",3,"Latgale",713,19,88,644," "
"69",17,7,"Inese","Šāble","Female",6,1,"Liberālā partija",3,"Latgale",713,21,91,643," "
"70",18,12,"Jānis","Staltmanis","Male",6,1,"Liberālā partija",3,"Latgale",713,17,89,641," "
"71",19,4,"Jānis","Nikolovskis","Male",6,1,"Liberālā partija",3,"Latgale",713,21,97,637," "
"72",1,1,"Jānis","Danoss","Male",6,1,"Liberālā partija",4,"Kurzeme",218,32,22,228," "
"73",2,4,"Artūrs","Malta","Male",6,1,"Liberālā partija",4,"Kurzeme",218,21,20,219," "
"74",3,2,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",4,"Kurzeme",218,19,23,214," "
"75",4,5,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",4,"Kurzeme",218,12,19,211," "
"76",5,3,"Jānis","Nikolovskis","Male",6,1,"Liberālā partija",4,"Kurzeme",218,16,24,210," "
"77",6,6,"Gunārs","Svētiņš","Male",6,1,"Liberālā partija",4,"Kurzeme",218,9,24,203," "
"78",7,9,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",4,"Kurzeme",218,9,24,203," "
"79",8,11,"Kārlis","Klauva","Male",6,1,"Liberālā partija",4,"Kurzeme",218,7,22,203," "
"80",9,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",4,"Kurzeme",218,7,23,202," "
"81",10,12,"Jānis","Staltmanis","Male",6,1,"Liberālā partija",4,"Kurzeme",218,4,21,201," "
"82",11,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",4,"Kurzeme",218,5,22,201," "
"83",12,7,"Jānis","Kučinskis","Male",6,1,"Liberālā partija",4,"Kurzeme",218,7,25,200," "
"84",13,10,"Gunārs","Kohs","Male",6,1,"Liberālā partija",4,"Kurzeme",218,9,27,200," "
"85",14,8,"Inese","Šāble","Female",6,1,"Liberālā partija",4,"Kurzeme",218,6,25,199," "
"86",1,3,"Jānis","Danoss","Male",6,1,"Liberālā partija",5,"Zemgale",295,32,22,305," "
"87",2,13,"Juris","Semjonovs","Male",6,1,"Liberālā partija",5,"Zemgale",295,25,17,303," "
"88",3,15,"Zinta","Danosa","Female",6,1,"Liberālā partija",5,"Zemgale",295,12,14,293," "
"89",4,1,"Jānis","Nikolovskis","Male",6,1,"Liberālā partija",5,"Zemgale",295,19,22,292," "
"90",5,10,"Gunārs","Svētiņš","Male",6,1,"Liberālā partija",5,"Zemgale",295,15,18,292," "
"91",6,7,"Pēteris","Teivāns","Male",6,1,"Liberālā partija",5,"Zemgale",295,14,21,288," "
"92",7,12,"Jānis","Staltmanis","Male",6,1,"Liberālā partija",5,"Zemgale",295,11,18,288," "
"93",8,5,"Artūrs","Malta","Male",6,1,"Liberālā partija",5,"Zemgale",295,15,23,287," "
"94",9,9,"Inese","Šāble","Female",6,1,"Liberālā partija",5,"Zemgale",295,12,20,287," "
"95",10,4,"Kazimirs","Civkors","Male",6,1,"Liberālā partija",5,"Zemgale",295,11,21,285," "
"96",11,6,"Gunārs","Kohs","Male",6,1,"Liberālā partija",5,"Zemgale",295,12,23,284," "
"97",12,8,"Jānis","Kučinskis","Male",6,1,"Liberālā partija",5,"Zemgale",295,11,22,284," "
"98",13,11,"Kārlis","Klauva","Male",6,1,"Liberālā partija",5,"Zemgale",295,8,19,284," "
"99",14,14,"Anastasija","Jurkiša","Female",6,1,"Liberālā partija",5,"Zemgale",295,7,18,284," "
"100",15,2,"Edmunds","Zālīte","Male",6,1,"Liberālā partija",5,"Zemgale",295,10,24,281," "
"101",1,1,"Paulis","Kļaviņš","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,2127,482,14556,"ievēlēts"
"102",2,6,"Kārlis Jūlijs","Druva","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1441,442,13910,"ievēlēts"
"103",3,16,"Tekla","Balode","Female",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1336,556,13691," "
"104",4,5,"Juris","Miķelsons","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1222,447,13686," "
"105",5,12,"Rūdolfs","Cimdiņš","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,992,438,13465," "
"106",6,4,"Uldis","Lakševics","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1137,595,13453," "
"107",7,3,"Ojārs","Blumbergs","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1212,768,13355," "
"108",8,17,"Vera","Volgemute","Female",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1231,805,13337," "
"109",9,25,"Mārcis","Gobiņš","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,965,608,13268," "
"110",10,2,"Oskars","Caune","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1308,1137,13082," "
"111",11,11,"Ojārs","Spārītis","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,719,782,12848," "
"112",12,22,"Pēteris","Putniņš","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,588,684,12815," "
"113",13,8,"Viktors","Elksnis","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,633,751,12793," "
"114",14,19,"Dainis","Vanags","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,593,730,12774," "
"115",15,13,"Ieva","Bīlmane","Female",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,552,778,12685," "
"116",16,23,"Vilnis","Gulbis","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,409,668,12652," "
"117",17,9,"Rihards","Pīks","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,754,1041,12624," "
"118",18,14,"Gunārs","Matisons","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,411,711,12611," "
"119",19,10,"Alda","Eisaka","Female",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,568,917,12562," "
"120",20,24,"Jānis","Augstkalniņš","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,410,789,12532," "
"121",21,7,"Uldis","Matvejs","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,508,896,12523," "
"122",22,15,"Arturs","Ēķis","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,661,1098,12474," "
"123",23,27,"Leons","Vizbulis","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,358,812,12457," "
"124",24,18,"Viktors","Zemgals","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,1064,1526,12449," "
"125",25,20,"Konstantīns","Gailišs","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,345,815,12441," "
"126",26,21,"Zenta","Valtere","Female",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,427,998,12340," "
"127",27,26,"Francisks","Usāns","Male",6,2,"LZS, LKDS un Latgales DP",1,"Rīga",12911,352,929,12334," "
"128",1,1,"Pauls","Putniņš","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,1912,582,15864,"ievēlēts"
"129",2,2,"Aida","Prēdele","Female",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,1872,740,15666,"ievēlēts"
"130",3,9,"Māris","Niklass","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,941,496,14979," "
"131",4,16,"Andris","Sovers","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,806,426,14914," "
"132",5,25,"Mārtiņš","Bauze-Krastiņš","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,847,517,14864," "
"133",6,13,"Juris Rūdolfs","Lange","Male",6,2,"LZS, LKDS un Latgales DP",2,"Vidzeme",14534,676,422,14788," "
