"","PostNum","PreNum","CandidateName","CandidateSurname","Sex","Saeima","PartyNum","PartyAbbr","DistrNum","DistrName","BallotsForParty","Pluses","Minuses","Points","Result"
"2372",7,8,"Broņislavs","Brakovskis","Male",7,7,"Jaunā partija",3,"Latgale",8783,605,218,9170,""
"2373",8,12,"Vita","Kotāne","Female",7,7,"Jaunā partija",3,"Latgale",8783,536,196,9123,""
"2374",9,9,"Valērijs","Pivins","Male",7,7,"Jaunā partija",3,"Latgale",8783,547,209,9121,""
"2375",10,17,"Ingrīda","Labucka","Female",7,7,"Jaunā partija",3,"Latgale",8783,520,212,9091,""
"2376",11,14,"Raimonds","Pokulis","Male",7,7,"Jaunā partija",3,"Latgale",8783,482,201,9064,""
"2377",12,4,"Anatolijs","Jerumanis","Male",7,7,"Jaunā partija",3,"Latgale",8783,447,207,9023,""
"2378",13,15,"Jevgenija","Stalidzāne","Female",7,7,"Jaunā partija",3,"Latgale",8783,439,199,9023,"ievēlēta Zemgales apgabalā"
"2379",14,6,"Raimonds","Timma","Male",7,7,"Jaunā partija",3,"Latgale",8783,413,208,8988,""
"2380",15,11,"Tatjana","Koķe","Female",7,7,"Jaunā partija",3,"Latgale",8783,415,217,8981,""
"2381",16,16,"Valdis","Garbovskis","Male",7,7,"Jaunā partija",3,"Latgale",8783,396,203,8976,""
"2382",17,10,"Sandris","Točs","Male",7,7,"Jaunā partija",3,"Latgale",8783,342,205,8920,""
"2383",18,13,"Ksenija","Zagorovska","Female",7,7,"Jaunā partija",3,"Latgale",8783,350,217,8916,""
"2384",1,1,"Raimonds","Pauls","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,5033,56,16620,"ievēlēts Vidzemes apgabalā"
"2385",2,2,"Ainārs","Šlesers","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,1981,171,13453,"ievēlēts Vidzemes apgabalā"
"2386",3,3,"Ingrīda","Ūdre","Female",7,7,"Jaunā partija",4,"Kurzeme",11643,802,119,12326,"ievēlēta"
"2387",4,9,"Imants","Ziediņš","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,764,129,12278,""
"2388",5,5,"Silvija","Dreimane","Female",7,7,"Jaunā partija",4,"Kurzeme",11643,753,122,12274,"ievēlēta Zemgales apgabalā"
"2389",6,11,"Dzintra Mirdza","Reisa","Female",7,7,"Jaunā partija",4,"Kurzeme",11643,769,155,12257,""
"2390",7,4,"Ārijs","Orlovskis","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,749,140,12252,""
"2391",8,8,"Edvīns","Bergmanis","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,651,161,12133,""
"2392",9,7,"Anatolijs","Jerumanis","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,607,155,12095,""
"2393",10,12,"Kārlis","Fricsons","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,595,155,12083,""
"2394",11,6,"Tatjana","Koķe","Female",7,7,"Jaunā partija",4,"Kurzeme",11643,598,170,12071,""
"2395",12,14,"Valdis","Bernhards","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,537,135,12045,""
"2396",13,13,"Aivars","Trops","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,521,128,12036,""
"2397",14,10,"Raimonds","Timma","Male",7,7,"Jaunā partija",4,"Kurzeme",11643,488,131,12000,""
"2398",1,1,"Raimonds","Pauls","Male",7,7,"Jaunā partija",5,"Zemgale",12991,6083,111,18963,"ievēlēts Vidzemes apgabalā"
"2399",2,2,"Ainārs","Šlesers","Male",7,7,"Jaunā partija",5,"Zemgale",12991,2048,313,14726,"ievēlēts Vidzemes apgabalā"
"2400",3,15,"Andris","Bērziņš","Male",7,7,"Jaunā partija",5,"Zemgale",12991,1342,170,14163,"ievēlēts Rīgas apgabalā"
"2401",4,3,"Jevgenija","Stalidzāne","Female",7,7,"Jaunā partija",5,"Zemgale",12991,1071,253,13809,"ievēlēta"
"2402",5,4,"Silvija","Dreimane","Female",7,7,"Jaunā partija",5,"Zemgale",12991,964,236,13719,"ievēlēta"
"2403",6,10,"Māris","Graubiņš","Male",7,7,"Jaunā partija",5,"Zemgale",12991,887,196,13682,""
"2404",7,11,"Jānis","Zaržeckis","Male",7,7,"Jaunā partija",5,"Zemgale",12991,751,214,13528,""
"2405",8,6,"Juris","Kaminskis","Male",7,7,"Jaunā partija",5,"Zemgale",12991,789,255,13525,""
"2406",9,5,"Sandris","Točs","Male",7,7,"Jaunā partija",5,"Zemgale",12991,694,248,13437,""
"2407",10,9,"Ivars","Amoliņš","Male",7,7,"Jaunā partija",5,"Zemgale",12991,691,259,13423,""
"2408",11,7,"Anatolijs","Jerumanis","Male",7,7,"Jaunā partija",5,"Zemgale",12991,656,250,13397,""
"2409",12,8,"Imants","Valers","Male",7,7,"Jaunā partija",5,"Zemgale",12991,620,237,13374,""
"2410",13,14,"Gunārs","Jemeļjanovs","Male",7,7,"Jaunā partija",5,"Zemgale",12991,614,238,13367,""
"2411",14,12,"Andris","Brizgo","Male",7,7,"Jaunā partija",5,"Zemgale",12991,613,272,13332,""
"2412",15,13,"Pēteris","Pošeika","Male",7,7,"Jaunā partija",5,"Zemgale",12991,570,246,13315,""
"2413",1,4,"Ilga","Kreituse","Female",7,8,"DP/KDS/LZP",1,"Rīga",5106,1776,437,6445,""
"2414",2,1,"Indulis","Emsis","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,1065,250,5921,""
"2415",3,2,"Tālavs","Jundzis","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,1078,301,5883,""
"2416",4,3,"Aivars Guntis","Kreituss","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,1231,520,5817,""
"2417",5,8,"Paulis","Kļaviņš","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,645,221,5530,""
"2418",6,18,"Arvīds","Ulme","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,527,287,5346,""
"2419",7,20,"Pēteris","Pētersons","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,413,266,5253,""
"2420",8,16,"Andrejs","Mūrnieks","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,292,233,5165,""
"2421",9,17,"Tālivaldis","Kronbergs","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,269,246,5129,""
"2422",10,21,"Uldis","Lakševics","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,216,205,5117,""
"2423",11,10,"Egīls","Lavendelis","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,281,301,5086,""
"2424",12,14,"Dītrihs","Lēbers","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,204,251,5059,""
"2425",13,7,"Aristids Jēkabs","Lambergs","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,335,386,5055,""
"2426",14,26,"Eduards","Upenieks","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,177,239,5044,""
"2427",15,5,"Visvaldis","Aivars","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,215,287,5034,""
"2428",16,12,"Juris","Putriņš","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,181,280,5007,""
"2429",17,19,"Aivars","Freimanis","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,162,264,5004,""
"2430",18,6,"Askolds","Kļaviņš","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,186,296,4996,""
"2431",19,13,"Valdis","Felsbergs","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,161,273,4994,""
"2432",20,11,"Arturs","Balklavs-Grīnhofs","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,131,269,4968,""
"2433",21,24,"Eižens","Slava","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,119,272,4953,""
"2434",22,27,"Raimonds","Urtāns","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,119,275,4950,""
"2435",23,15,"Mārtiņš","Kaņepējs","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,119,276,4949,""
"2436",24,25,"Mārtiņš","Ritums","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,97,266,4937,""
"2437",25,9,"Edvīns","Laucis","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,127,297,4936,""
"2438",26,23,"Tatjana","Strautmane","Female",7,8,"DP/KDS/LZP",1,"Rīga",5106,107,289,4924,""
"2439",27,22,"Gints","Guks","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,89,272,4923,""
"2440",28,28,"Raimonds","Kisiels","Male",7,8,"DP/KDS/LZP",1,"Rīga",5106,77,273,4910,""
"2441",1,6,"Ilga","Kreituse","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,2897,212,9437,""
"2442",2,1,"Aivars Guntis","Kreituss","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,2180,269,8663,""
"2443",3,2,"Tālavs","Jundzis","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,1485,202,8035,""
"2444",4,3,"Indulis","Emsis","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,1329,163,7918,""
"2445",5,10,"Guntis","Eniņš","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,695,195,7252,""
"2446",6,4,"Arvīds","Ulme","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,673,227,7198,""
"2447",7,12,"Uldis","Veldre","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,409,199,6962,""
"2448",8,14,"Ausma","Cimdiņa","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,283,194,6841,""
"2449",9,11,"Uldis","Augstkalns","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,326,247,6831,""
"2450",10,5,"Visvaldis","Aivars","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,252,198,6806,""
"2451",11,8,"Juris","Kokins","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,248,230,6770,""
"2452",12,24,"Jānis","Lūsis","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,212,210,6754,""
"2453",13,20,"Māra","Taivane","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,216,215,6753,""
"2454",14,7,"Valdis","Veinbergs","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,197,205,6744,""
"2455",15,16,"Agris","Strazds","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,158,206,6704,""
"2456",16,23,"Uldis","Zītars","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,159,221,6690,""
"2457",17,25,"Inese","Baltvilka","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,158,220,6690,""
"2458",18,22,"Anita","Jēriņa","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,149,218,6683,""
"2459",19,21,"Valdis","Felsbergs","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,130,202,6680,""
"2460",20,15,"Vita","Zablovska","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,136,213,6675,""
"2461",21,19,"Felikss","Circenis","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,136,214,6674,""
"2462",22,17,"Brigita","Tamane","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,138,220,6670,""
"2463",23,13,"Aija","Žileviča","Female",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,139,223,6668,""
"2464",24,9,"Andris","Leitas","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,118,227,6643,""
"2465",25,18,"Pēteris","Kirsanovs","Male",7,8,"DP/KDS/LZP",2,"Vidzeme",6752,112,224,6640,""
"2466",1,1,"Andrejs","Naglis","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,1304,105,4701,""
"2467",2,4,"Ilga","Kreituse","Female",7,8,"DP/KDS/LZP",3,"Latgale",3502,1044,246,4300,""
"2468",3,2,"Aivars Guntis","Kreituss","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,719,271,3950,""
"2469",4,5,"Broņislavs","Spridzāns","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,557,156,3903,""
"2470",5,11,"Tālavs","Jundzis","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,541,156,3887,""
"2471",6,14,"Eduards","Upenieks","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,410,149,3763,""
"2472",7,17,"Lucija Silvija","Līmane","Female",7,8,"DP/KDS/LZP",3,"Latgale",3502,404,146,3760,""
"2473",8,3,"Pēteris","Leiškalns","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,232,182,3552,""
"2474",9,8,"Visvaldis","Aivars","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,210,170,3542,""
"2475",10,15,"Māra","Lagzdiņa","Female",7,8,"DP/KDS/LZP",3,"Latgale",3502,183,169,3516,""
"2476",11,16,"Antons","Briļs","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,172,189,3485,""
"2477",12,13,"Iveta","Freiberga","Female",7,8,"DP/KDS/LZP",3,"Latgale",3502,125,192,3435,""
"2478",13,18,"Aivars","Nātre","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,112,194,3420,""
"2479",14,10,"Lilija","Pugačeva","Female",7,8,"DP/KDS/LZP",3,"Latgale",3502,138,231,3409,""
"2480",15,7,"Valdis","Veinbergs","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,104,198,3408,""
"2481",16,9,"Nikolajs","Vederņikovs","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,122,224,3400,""
"2482",17,12,"Gunārs","Lākutis","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,97,201,3398,""
"2483",18,6,"Arno","Sonks","Male",7,8,"DP/KDS/LZP",3,"Latgale",3502,101,207,3396,""
"2484",1,4,"Ilga","Kreituse","Female",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,1434,155,4691,""
"2485",2,3,"Aivars Guntis","Kreituss","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,1011,168,4255,""
"2486",3,1,"Tālavs","Jundzis","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,752,115,4049,""
"2487",4,2,"Indulis","Emsis","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,632,113,3931,""
"2488",5,12,"Egils","Deksnis","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,435,124,3723,""
"2489",6,5,"Jānis","Kalviņš","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,301,111,3602,""
"2490",7,6,"Pēteris","Simsons","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,241,90,3563,""
"2491",8,7,"Juris","Āboliņš","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,255,107,3560,""
"2492",9,14,"Inese","Ziediņa","Female",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,142,110,3444,""
"2493",10,13,"Uldis","Štoss","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,115,111,3416,""
"2494",11,8,"Askolds","Kļaviņš","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,112,118,3406,""
"2495",12,11,"Kārlis","Gudermanis","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,108,126,3394,""
"2496",13,10,"Andrejs","Cinis","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,99,118,3393,""
"2497",14,9,"Elmars","Bertrams","Male",7,8,"DP/KDS/LZP",4,"Kurzeme",3412,88,153,3347,""
"2498",1,1,"Ilga","Kreituse","Female",7,8,"DP/KDS/LZP",5,"Zemgale",3246,1458,156,4548,""
"2499",2,6,"Aivars Guntis","Kreituss","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,856,172,3930,""
"2500",3,3,"Tālavs","Jundzis","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,655,68,3833,""
"2501",4,11,"Guntis","Eniņš","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,387,74,3559,""
"2502",5,2,"Jānis","Rāzna","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,385,90,3541,""
"2503",6,4,"Andrejs","Naglis","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,345,106,3485,""
"2504",7,7,"Andris","Bērziņš","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,274,74,3446,""
"2505",8,13,"Reinis","Ādmīdiņš","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,275,93,3428,""
"2506",9,15,"Pēteris","Simsons","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,202,58,3390,""
"2507",10,5,"Aristids Jēkabs","Lambergs","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,266,136,3376,""
"2508",11,9,"Vladimirs","Akimovs","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,196,107,3335,""
"2509",12,10,"Jānis","Kalviņš","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,151,83,3314,""
"2510",13,14,"Rūta","Bendere","Female",7,8,"DP/KDS/LZP",5,"Zemgale",3246,140,89,3297,""
"2511",14,12,"Inta Juta","Viniarska","Female",7,8,"DP/KDS/LZP",5,"Zemgale",3246,137,99,3284,""
"2512",15,8,"Valdis","Felsbergs","Male",7,8,"DP/KDS/LZP",5,"Zemgale",3246,127,96,3277,""
"2513",1,5,"Eduards","Pāvuls","Male",7,9,"LZS",1,"Rīga",3302,750,137,3915,""
"2514",2,4,"Ramona","Umblija","Female",7,9,"LZS",1,"Rīga",3302,447,158,3591,""
"2515",3,2,"Jānis","Strazdiņš","Male",7,9,"LZS",1,"Rīga",3302,305,134,3473,""
"2516",4,17,"Vilnis Edvīns","Bresis","Male",7,9,"LZS",1,"Rīga",3302,311,159,3454,""
"2517",5,6,"Maija","Rubīna","Female",7,9,"LZS",1,"Rīga",3302,290,142,3450,""
"2518",6,7,"Roberts","Dilba","Male",7,9,"LZS",1,"Rīga",3302,283,141,3444,""
"2519",7,9,"Jānis","Porietis","Male",7,9,"LZS",1,"Rīga",3302,271,130,3443,""
"2520",8,11,"Pauls","Putniņš","Male",7,9,"LZS",1,"Rīga",3302,264,135,3431,""
"2521",9,14,"Andris","Rāviņš","Male",7,9,"LZS",1,"Rīga",3302,209,133,3378,""
"2522",10,25,"Imants","Skrastiņš","Male",7,9,"LZS",1,"Rīga",3302,221,159,3364,""
"2523",11,12,"Edvīns","Kide","Male",7,9,"LZS",1,"Rīga",3302,182,153,3331,""
"2524",12,22,"Silva","Ozoliņa","Female",7,9,"LZS",1,"Rīga",3302,122,114,3310,""
"2525",13,8,"Juris","Iesalnieks","Male",7,9,"LZS",1,"Rīga",3302,144,139,3307,""
"2526",14,15,"Juris","Miķelsons","Male",7,9,"LZS",1,"Rīga",3302,128,123,3307,""
"2527",15,13,"Ojārs","Spārītis","Male",7,9,"LZS",1,"Rīga",3302,164,162,3304,""
"2528",16,19,"Jānis","Liepiņš","Male",7,9,"LZS",1,"Rīga",3302,116,117,3301,""
"2529",17,24,"Rūdolfs","Cimdiņš","Male",7,9,"LZS",1,"Rīga",3302,108,110,3300,""
"2530",18,18,"Jānis","Grigalis","Male",7,9,"LZS",1,"Rīga",3302,97,110,3289,""
"2531",19,28,"Olģerts","Leščinskis","Male",7,9,"LZS",1,"Rīga",3302,122,137,3287,""
"2532",20,10,"Zigrida","Šmite","Female",7,9,"LZS",1,"Rīga",3302,116,132,3286,""
"2533",21,16,"Dzintra","Straume","Female",7,9,"LZS",1,"Rīga",3302,98,125,3275,""
"2534",22,27,"Ivars","Prudāns","Male",7,9,"LZS",1,"Rīga",3302,80,123,3259,""
"2535",23,3,"Zigurds","Eglītis","Male",7,9,"LZS",1,"Rīga",3302,113,160,3255,""
"2536",24,23,"Antons","Vjaters","Male",7,9,"LZS",1,"Rīga",3302,88,138,3252,""
"2537",25,26,"Arturs","Fokins","Male",7,9,"LZS",1,"Rīga",3302,77,127,3252,""
"2538",26,20,"Juris Rūdolfs","Lange","Male",7,9,"LZS",1,"Rīga",3302,78,131,3249,""
"2539",27,21,"Gunārs","Matisons","Male",7,9,"LZS",1,"Rīga",3302,59,121,3240,""
"2540",28,1,"Laimonis","Strujēvičs","Male",7,9,"LZS",1,"Rīga",3302,255,333,3224,""
"2541",1,22,"Eduards","Pāvuls","Male",7,9,"LZS",2,"Vidzeme",8174,1516,180,9510,""
"2542",2,5,"Andis","Kāposts","Male",7,9,"LZS",2,"Vidzeme",8174,1203,223,9154,""
"2543",3,8,"Roberts","Dilba","Male",7,9,"LZS",2,"Vidzeme",8174,1131,316,8989,""
"2544",4,11,"Edvīns","Kide","Male",7,9,"LZS",2,"Vidzeme",8174,971,200,8945,""
"2545",5,3,"Visvaldis","Skujiņš","Male",7,9,"LZS",2,"Vidzeme",8174,909,180,8903,""
"2546",6,2,"Andris","Rāviņš","Male",7,9,"LZS",2,"Vidzeme",8174,871,260,8785,""
"2547",7,4,"Ramona","Umblija","Female",7,9,"LZS",2,"Vidzeme",8174,759,276,8657,""
"2548",8,10,"Māris","Niklass","Male",7,9,"LZS",2,"Vidzeme",8174,661,245,8590,""
"2549",9,17,"Viesturs","Gredzens","Male",7,9,"LZS",2,"Vidzeme",8174,620,207,8587,""
"2550",10,16,"Pauls","Putniņš","Male",7,9,"LZS",2,"Vidzeme",8174,620,277,8517,""
"2551",11,6,"Inesis","Boķis","Male",7,9,"LZS",2,"Vidzeme",8174,514,186,8502,""
"2552",12,18,"Raitis","Apalups","Male",7,9,"LZS",2,"Vidzeme",8174,531,211,8494,""
"2553",13,13,"Andris","Sovers","Male",7,9,"LZS",2,"Vidzeme",8174,496,177,8493,""
"2554",14,7,"Kārlis","Albergs","Male",7,9,"LZS",2,"Vidzeme",8174,442,195,8421,""
"2555",15,12,"Jānis","Līpacis","Male",7,9,"LZS",2,"Vidzeme",8174,441,201,8414,""
"2556",16,20,"Kārlis","Tomsons","Male",7,9,"LZS",2,"Vidzeme",8174,411,173,8412,""
"2557",17,14,"Jānis","Krūmals","Male",7,9,"LZS",2,"Vidzeme",8174,407,171,8410,""
"2558",18,25,"Mētra","Kalniņa","Female",7,9,"LZS",2,"Vidzeme",8174,301,205,8270,""
"2559",19,19,"Mārtiņš","Andersons","Male",7,9,"LZS",2,"Vidzeme",8174,237,167,8244,""
"2560",20,9,"Juris","Iesalnieks","Male",7,9,"LZS",2,"Vidzeme",8174,220,183,8211,""
"2561",21,15,"Andris","Zarāns","Male",7,9,"LZS",2,"Vidzeme",8174,189,193,8170,""
"2562",22,24,"Alfrēds","Greiselis","Male",7,9,"LZS",2,"Vidzeme",8174,194,255,8113,""
"2563",23,21,"Vilnis Egils","Rēpelis","Male",7,9,"LZS",2,"Vidzeme",8174,144,207,8111,""
"2564",24,1,"Laimonis","Strujēvičs","Male",7,9,"LZS",2,"Vidzeme",8174,511,613,8072,""
"2565",25,23,"Arkādijs","Suškins","Male",7,9,"LZS",2,"Vidzeme",8174,211,315,8070,""
"2566",1,5,"Staņislavs","Šķesters","Male",7,9,"LZS",3,"Latgale",3601,588,144,4045,""
"2567",2,2,"Leopolds","Zunda","Male",7,9,"LZS",3,"Latgale",3601,602,272,3931,""
"2568",3,3,"Roberts","Dilba","Male",7,9,"LZS",3,"Latgale",3601,493,278,3816,""
"2569",4,7,"Skaidrīte","Pilāte","Female",7,9,"LZS",3,"Latgale",3601,414,219,3796,""
"2570",5,18,"Vilnis Edvīns","Bresis","Male",7,9,"LZS",3,"Latgale",3601,376,244,3733,""
"2571",6,10,"Konstantīns","Andžāns","Male",7,9,"LZS",3,"Latgale",3601,306,244,3663,""
"2572",7,6,"Andris","Rāviņš","Male",7,9,"LZS",3,"Latgale",3601,294,275,3620,""
"2573",8,1,"Laimonis","Strujēvičs","Male",7,9,"LZS",3,"Latgale",3601,302,308,3595,""
"2574",9,9,"Vitālijs","Plivda","Male",7,9,"LZS",3,"Latgale",3601,243,249,3595,""
"2575",10,13,"Jānis","Belkovskis","Male",7,9,"LZS",3,"Latgale",3601,220,248,3573,""
"2576",11,17,"Ramona","Umblija","Female",7,9,"LZS",3,"Latgale",3601,227,258,3570,""
"2577",12,16,"Konstancija","Kirsanova","Female",7,9,"LZS",3,"Latgale",3601,212,246,3567,""
"2578",13,11,"Jevgēnijs","Zaščerinskis","Male",7,9,"LZS",3,"Latgale",3601,205,255,3551,""
"2579",14,4,"Irēna","Folkmane","Female",7,9,"LZS",3,"Latgale",3601,241,305,3537,""
"2580",15,12,"Jānis","Krievāns","Male",7,9,"LZS",3,"Latgale",3601,182,246,3537,""
"2581",16,8,"Jurijs","Atstupens","Male",7,9,"LZS",3,"Latgale",3601,177,257,3521,""
"2582",17,14,"Alfrēds","Greiselis","Male",7,9,"LZS",3,"Latgale",3601,140,262,3479,""
"2583",18,15,"Jevgēnija","Kronberga","Female",7,9,"LZS",3,"Latgale",3601,120,250,3471,""
"2584",1,4,"Eduards","Pāvuls","Male",7,9,"LZS",4,"Kurzeme",3964,863,59,4768,""
"2585",2,14,"Vilnis Edvīns","Bresis","Male",7,9,"LZS",4,"Kurzeme",3964,594,76,4482,""
"2586",3,10,"Jānis","Zgirskis","Male",7,9,"LZS",4,"Kurzeme",3964,434,63,4335,""
"2587",4,5,"Ramona","Umblija","Female",7,9,"LZS",4,"Kurzeme",3964,425,76,4313,""
"2588",5,1,"Laimonis","Strujēvičs","Male",7,9,"LZS",4,"Kurzeme",3964,478,158,4284,""
"2589",6,12,"Austris","Kristapsons","Male",7,9,"LZS",4,"Kurzeme",3964,345,52,4257,""
"2590",7,11,"Andris","Siliņš","Male",7,9,"LZS",4,"Kurzeme",3964,310,48,4226,""
"2591",8,3,"Juris","Iesalnieks","Male",7,9,"LZS",4,"Kurzeme",3964,322,65,4221,""
"2592",9,2,"Vaira","Brūdere","Female",7,9,"LZS",4,"Kurzeme",3964,326,80,4210,""
"2593",10,6,"Andris","Rāviņš","Male",7,9,"LZS",4,"Kurzeme",3964,352,111,4205,""
"2594",11,13,"Ojārs","Petrēvics","Male",7,9,"LZS",4,"Kurzeme",3964,312,77,4199,""
"2595",12,7,"Valdis","Danenbergs","Male",7,9,"LZS",4,"Kurzeme",3964,256,67,4153,""
"2596",13,8,"Jevgēnijs","Zaščerinskis","Male",7,9,"LZS",4,"Kurzeme",3964,249,80,4133,""
"2597",14,9,"Zigmunds Georgs","Fīrers","Male",7,9,"LZS",4,"Kurzeme",3964,220,80,4104,""
"2598",1,7,"Eduards","Pāvuls","Male",7,9,"LZS",5,"Zemgale",4691,1059,105,5645,""
"2599",2,3,"Andris","Rāviņš","Male",7,9,"LZS",5,"Zemgale",4691,885,109,5467,""
"2600",3,15,"Vilnis Edvīns","Bresis","Male",7,9,"LZS",5,"Zemgale",4691,841,88,5444,""
"2601",4,4,"Ramona","Umblija","Female",7,9,"LZS",5,"Zemgale",4691,504,116,5079,""
"2602",5,5,"Jevgēnijs","Zaščerinskis","Male",7,9,"LZS",5,"Zemgale",4691,504,116,5079,""
"2603",6,11,"Viesturs","Gredzens","Male",7,9,"LZS",5,"Zemgale",4691,526,145,5072,""
"2604",7,2,"Alfrēds","Greiselis","Male",7,9,"LZS",5,"Zemgale",4691,465,153,5003,""
"2605",8,6,"Agris","Jaunkļaviņš","Male",7,9,"LZS",5,"Zemgale",4691,332,111,4912,""
"2606",9,1,"Laimonis","Strujēvičs","Male",7,9,"LZS",5,"Zemgale",4691,456,267,4880,""
"2607",10,10,"Dzintra","Mikanovska","Female",7,9,"LZS",5,"Zemgale",4691,287,104,4874,""
"2608",11,14,"Ģedimins","Siliņš","Male",7,9,"LZS",5,"Zemgale",4691,276,106,4861,""
"2609",12,9,"Vilis","Šķērsts","Male",7,9,"LZS",5,"Zemgale",4691,271,109,4853,""
